station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m [degF],temp_9m [degF],apparent_temperature [degF],relative_humidity [percent],dewpoint [degF],precip_incremental [inch],precip_local [inch],precip_max_intensity [inch/hour],precip_1hr [inch],avg_wind_speed_prop [mile/hr],max_wind_speed_prop [mile/hr],wind_speed_stddev_prop [mile/hr],wind_direction_prop [degrees],wind_direction_stddev_prop [degrees],avg_wind_speed_sonic [mile/hr],max_wind_speed_sonic [mile/hr],wind_speed_stddev_sonic [mile/hr],wind_direction_sonic [degrees],wind_direction_stddev_sonic [degrees],avg_wind_speed_merge [mile/hr],max_wind_speed_merge [mile/hr],wind_speed_stddev_merge [mile/hr],wind_direction_merge [degrees],wind_direction_stddev_merge [degrees],solar_insolation [W/m^2],station_pressure [inHg],snow_depth,frozen_soil_05cm,frozen_soil_25cm,frozen_soil_50cm,soil_temp_05cm,soil_temp_25cm,soil_temp_50cm,soil_moisture_05cm,soil_moisture_25cm,soil_moisture_50cm
SCHU,2015-08-17 00:00:00 EDT,43.11700,-73.57829,103,68.4,69.5,68.4,99.3,68.2,0.000,0.000,0.00,0.000,1.0,1.6,0.2,166,20,1.3,2.0,0.3,175,22,1.0,1.6,0.2,166,20,0,29.96,,,,,,,,,,
SCHU,2015-08-17 00:05:00 EDT,43.11700,-73.57829,103,68.6,69.5,68.6,99.4,68.4,0.000,0.000,0.00,0.000,0.5,1.2,0.3,166,12,1.0,1.8,0.3,142,27,0.5,1.2,0.3,166,12,0,29.96,,,,,,,,,,
SCHU,2015-08-17 00:10:00 EDT,43.11700,-73.57829,103,68.6,69.7,68.6,99.4,68.5,0.000,0.000,0.00,0.000,0.5,1.2,0.3,109,0,1.1,1.8,0.3,111,13,0.5,1.2,0.3,109,0,0,29.96,,,,,,,,,,
SCHU,2015-08-17 00:15:00 EDT,43.11700,-73.57829,103,68.1,69.5,68.1,99.2,67.9,0.000,0.000,0.00,0.000,1.2,1.7,0.2,113,6,1.6,2.5,0.3,114,10,1.2,1.7,0.2,113,6,0,29.96,,,,,,,,,,
SCHU,2015-08-17 00:20:00 EDT,43.11700,-73.57829,103,68.2,69.3,68.2,99.3,68.0,0.000,0.000,0.00,0.000,1.0,1.3,0.2,138,21,1.3,1.8,0.2,142,17,1.0,1.3,0.2,138,21,0,29.96,,,,,,,,,,
SCHU,2015-08-17 00:25:00 EDT,43.11700,-73.57829,103,68.6,69.2,68.6,99.5,68.4,0.000,0.000,0.00,0.000,0.6,1.0,0.3,165,0,1.1,6.3,0.6,144,11,0.6,1.0,0.3,165,0,0,29.96,,,,,,,,,,
SCHU,2015-08-17 00:30:00 EDT,43.11700,-73.57829,103,68.2,69.1,68.2,99.4,68.1,0.000,0.000,0.00,0.000,0.1,0.6,0.2,165,0,0.9,3.1,0.3,128,19,0.1,0.6,0.2,165,0,0,29.96,,,,,,,,,,
SCHU,2015-08-17 00:35:00 EDT,43.11700,-73.57829,103,68.2,69.1,68.2,99.4,68.0,0.000,0.000,0.00,0.000,0.0,0.4,0.1,165,0,1.1,2.9,0.3,113,12,0.0,0.4,0.1,165,0,0,29.96,,,,,,,,,,
SCHU,2015-08-17 00:40:00 EDT,43.11700,-73.57829,103,67.7,69.0,67.7,99.3,67.5,0.000,0.000,0.00,0.000,0.0,0.4,0.1,164,0,1.0,2.9,0.4,114,13,0.0,0.4,0.1,164,0,0,29.96,,,,,,,,,,
SCHU,2015-08-17 00:45:00 EDT,43.11700,-73.57829,103,67.8,69.0,67.8,99.4,67.6,0.000,0.000,0.00,0.000,0.2,0.9,0.3,164,0,1.3,6.9,0.6,125,14,0.2,0.9,0.3,164,0,0,29.97,,,,,,,,,,
