station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m [degF],temp_9m [degF],apparent_temperature [degF],relative_humidity [percent],dewpoint [degF],precip_incremental [inch],precip_local [inch],precip_max_intensity [inch/hour],precip_1hr [inch],avg_wind_speed_prop [mile/hr],max_wind_speed_prop [mile/hr],wind_speed_stddev_prop [mile/hr],wind_direction_prop [degrees],wind_direction_stddev_prop [degrees],avg_wind_speed_sonic [mile/hr],max_wind_speed_sonic [mile/hr],wind_speed_stddev_sonic [mile/hr],wind_direction_sonic [degrees],wind_direction_stddev_sonic [degrees],avg_wind_speed_merge [mile/hr],max_wind_speed_merge [mile/hr],wind_speed_stddev_merge [mile/hr],wind_direction_merge [degrees],wind_direction_stddev_merge [degrees],solar_insolation [W/m^2],station_pressure [inHg],snow_depth,frozen_soil_05cm [bit],frozen_soil_25cm [bit],frozen_soil_50cm [bit],soil_temp_05cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],soil_moisture_05cm [m^3/m^3],soil_moisture_25cm [m^3/m^3],soil_moisture_50cm [m^3/m^3]
BERK,2015-11-24 00:00:00 EST,42.32030,-76.20319,1291,17.1,18.3,17.1,94.2,15.7,0.000,0.011,0.00,0.000,1.1,1.5,0.1,304,0,1.4,1.6,0.2,321,4,1.1,1.5,0.1,304,0,0,28.78,,,,,37.4,41.9,44.4,,,
BERK,2015-11-24 00:05:00 EST,42.32030,-76.20319,1291,16.6,18.0,16.6,93.2,15.0,0.000,0.000,0.00,0.000,1.7,2.0,0.2,304,0,1.8,2.0,0.2,309,3,1.7,2.0,0.2,304,0,0,28.78,,,,,37.4,41.9,44.4,,,
BERK,2015-11-24 00:10:00 EST,42.32030,-76.20319,1291,16.5,17.7,16.5,93.0,14.8,0.000,0.000,0.00,0.000,1.9,2.3,0.1,304,0,1.9,2.2,0.2,311,3,1.9,2.3,0.1,304,0,0,28.78,,,,,37.4,41.9,44.4,,,
BERK,2015-11-24 00:15:00 EST,42.32030,-76.20319,1291,16.4,17.8,16.4,93.2,14.8,0.000,0.000,0.00,0.000,1.6,2.2,0.2,304,0,1.7,2.2,0.2,320,8,1.6,2.2,0.2,304,0,0,28.78,,,,,37.4,41.9,44.4,,,
BERK,2015-11-24 00:20:00 EST,42.32030,-76.20319,1291,16.7,18.1,16.7,93.5,15.1,0.000,0.000,0.00,0.000,1.3,1.6,0.1,304,0,1.6,2.0,0.1,323,7,1.3,1.6,0.1,304,0,0,28.78,,,,,37.3,41.9,44.4,,,
BERK,2015-11-24 00:25:00 EST,42.32030,-76.20319,1291,16.9,18.4,16.9,93.2,15.3,0.000,0.000,0.00,0.000,1.3,1.5,0.1,304,0,1.5,1.8,0.2,322,4,1.3,1.5,0.1,304,0,0,28.78,,,,,37.3,41.9,44.4,,,
BERK,2015-11-24 00:30:00 EST,42.32030,-76.20319,1291,16.7,18.4,16.7,92.7,15.0,0.000,0.000,0.00,0.000,1.4,1.5,0.1,304,0,1.5,1.8,0.1,319,5,1.4,1.5,0.1,304,0,0,28.78,,,,,37.3,41.9,44.4,,,
BERK,2015-11-24 00:35:00 EST,42.32030,-76.20319,1291,16.6,18.3,16.6,92.5,14.8,0.000,0.000,0.00,0.000,1.8,2.1,0.1,304,0,1.8,2.0,0.1,313,2,1.8,2.1,0.1,304,0,0,28.78,,,,,37.3,41.8,44.4,,,
BERK,2015-11-24 00:40:00 EST,42.32030,-76.20319,1291,16.6,18.2,16.6,92.7,14.9,0.000,0.000,0.00,0.000,1.6,1.8,0.1,304,0,1.6,2.0,0.1,318,3,1.6,1.8,0.1,304,0,0,28.78,,,,,37.3,41.8,44.4,,,
BERK,2015-11-24 00:45:00 EST,42.32030,-76.20319,1291,16.8,18.2,16.8,92.7,15.0,0.000,0.000,0.00,0.000,1.3,1.5,0.1,304,0,1.5,1.8,0.1,322,5,1.3,1.5,0.1,304,0,0,28.78,,,,,37.3,41.8,44.3,,,
BERK,2015-11-24 00:50:00 EST,42.32030,-76.20319,1291,16.8,18.4,16.8,92.4,15.0,0.000,0.000,0.00,0.000,1.0,1.2,0.1,304,0,1.4,1.8,0.2,326,6,1.0,1.2,0.1,304,0,0,28.78,,,,,37.2,41.8,44.4,,,
BERK,2015-11-24 00:55:00 EST,42.32030,-76.20319,1291,16.9,18.6,16.9,92.5,15.1,0.000,0.000,0.00,0.000,1.2,1.7,0.2,304,0,1.7,2.5,0.4,322,15,1.2,1.7,0.2,304,0,0,28.78,,,,,37.2,41.7,44.4,,,
