station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m [degF],temp_9m [degF],apparent_temperature [degF],relative_humidity [percent],dewpoint [degF],precip_incremental [inch],precip_local [inch],precip_max_intensity [inch/hour],precip_1hr [inch],avg_wind_speed_prop [mile/hr],max_wind_speed_prop [mile/hr],wind_speed_stddev_prop [mile/hr],wind_direction_prop [degrees],wind_direction_stddev_prop [degrees],avg_wind_speed_sonic [mile/hr],max_wind_speed_sonic [mile/hr],wind_speed_stddev_sonic [mile/hr],wind_direction_sonic [degrees],wind_direction_stddev_sonic [degrees],avg_wind_speed_merge [mile/hr],max_wind_speed_merge [mile/hr],wind_speed_stddev_merge [mile/hr],wind_direction_merge [degrees],wind_direction_stddev_merge [degrees],solar_insolation [W/m^2],station_pressure [inHg],snow_depth [inch],frozen_soil_05cm [bit],frozen_soil_25cm [bit],frozen_soil_50cm [bit],soil_temp_05cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],soil_moisture_05cm [m^3/m^3],soil_moisture_25cm [m^3/m^3],soil_moisture_50cm [m^3/m^3]
ADDI,2020-01-17 00:00:00 EST,42.04036,-77.23726,1665,18.4,18.2,4.0,72.5,11.1,0.000,0.055,0.00,0.000,14.5,22.9,3.8,342,22,15.5,26.1,3.9,345,15,15.5,26.1,3.9,345,15,0,28.60,0.0,0,0,0,36.0,38.3,39.2,0.59,0.46,0.45
ADDI,2020-01-17 00:05:00 EST,42.04036,-77.23726,1665,18.2,18.0,2.3,70.8,10.3,0.000,0.000,0.00,0.000,17.8,26.3,3.6,338,18,18.8,30.5,3.8,341,13,18.8,30.5,3.8,341,13,0,28.60,-0.0,0,0,0,36.0,38.3,39.2,0.59,0.46,0.45
ADDI,2020-01-17 00:10:00 EST,42.04036,-77.23726,1665,18.1,17.9,4.5,69.7,9.8,0.000,0.000,0.00,0.000,12.4,26.5,3.7,333,22,13.4,27.7,3.7,338,17,13.4,27.7,3.7,338,17,0,28.60,0.0,0,0,0,36.0,38.3,39.2,0.59,0.46,0.45
ADDI,2020-01-17 00:15:00 EST,42.04036,-77.23726,1665,17.9,17.7,2.9,69.0,9.5,0.000,0.000,0.00,0.000,15.1,25.5,3.6,344,14,16.5,28.2,4.0,346,11,16.5,28.2,4.0,346,11,0,28.60,-0.0,0,0,0,36.0,38.3,39.2,0.59,0.46,0.45
ADDI,2020-01-17 00:20:00 EST,42.04036,-77.23726,1665,17.8,17.6,3.6,67.8,9.0,0.000,0.000,0.00,0.000,13.4,25.9,3.8,344,18,14.7,28.2,4.1,348,13,14.7,28.2,4.1,348,13,0,28.60,0.0,0,0,0,35.9,38.3,39.2,0.59,0.46,0.45
ADDI,2020-01-17 00:25:00 EST,42.04036,-77.23726,1665,17.7,17.5,3.1,67.6,8.8,0.000,0.000,0.00,0.000,14.2,21.8,3.1,342,15,15.5,24.2,3.2,343,11,15.5,24.2,3.2,343,11,0,28.61,0.0,0,0,0,35.9,38.3,39.2,0.59,0.46,0.45
ADDI,2020-01-17 00:30:00 EST,42.04036,-77.23726,1665,17.7,17.5,3.7,67.5,8.7,0.000,0.000,0.00,0.000,12.8,21.5,3.6,335,19,14.1,25.0,3.7,337,16,14.1,25.0,3.7,337,16,0,28.61,0.0,0,0,0,35.8,38.3,39.1,0.59,0.46,0.45
ADDI,2020-01-17 00:35:00 EST,42.04036,-77.23726,1665,17.5,17.4,3.4,67.1,8.5,0.000,0.000,0.00,0.000,13.6,25.0,3.8,331,19,14.4,26.8,4.0,335,13,14.4,26.8,4.0,335,13,0,28.61,0.0,0,0,0,35.8,38.3,39.2,0.59,0.46,0.45
ADDI,2020-01-17 00:40:00 EST,42.04036,-77.23726,1665,17.4,17.2,3.0,68.1,8.7,0.000,0.000,0.00,0.000,13.6,25.1,3.8,342,15,14.8,28.0,4.1,345,15,14.8,28.0,4.1,345,15,0,28.61,0.0,0,0,0,35.8,38.3,39.2,0.59,0.46,0.45
ADDI,2020-01-17 00:45:00 EST,42.04036,-77.23726,1665,17.1,17.0,3.1,69.1,8.8,0.000,0.000,0.00,0.000,12.5,20.4,2.9,337,20,13.9,22.4,3.2,338,18,13.9,22.4,3.2,338,18,0,28.62,0.0,0,0,0,35.8,38.3,39.2,0.59,0.46,0.45
ADDI,2020-01-17 00:50:00 EST,42.04036,-77.23726,1665,17.0,16.9,4.1,69.1,8.6,0.000,0.000,0.00,0.000,10.9,16.4,2.7,329,15,11.6,18.2,2.9,333,15,11.6,18.2,2.9,333,15,0,28.62,0.0,0,0,0,35.8,38.3,39.1,0.59,0.46,0.45
ADDI,2020-01-17 00:55:00 EST,42.04036,-77.23726,1665,16.9,16.8,5.2,69.5,8.6,0.000,0.000,0.00,0.000,9.0,15.2,2.4,323,21,9.7,17.3,2.6,324,19,9.7,17.3,2.6,324,19,0,28.62,0.0,0,0,0,35.8,38.3,39.2,0.59,0.46,0.45
ADDI,2020-01-17 01:00:00 EST,42.04036,-77.23726,1665,16.8,16.7,4.2,70.1,8.7,0.000,0.000,0.00,0.000,10.3,20.5,3.3,331,20,11.2,21.1,3.4,334,18,11.2,21.1,3.4,334,18,0,28.63,0.0,0,0,0,35.8,38.3,39.2,0.59,0.46,0.45
