station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m [degF],temp_9m [degF],apparent_temperature [degF],relative_humidity [percent],dewpoint [degF],precip_incremental [inch],precip_local [inch],precip_max_intensity [inch/hour],precip_1hr [inch],avg_wind_speed_prop [mile/hr],max_wind_speed_prop [mile/hr],wind_speed_stddev_prop [mile/hr],wind_direction_prop [degrees],wind_direction_stddev_prop [degrees],avg_wind_speed_sonic [mile/hr],max_wind_speed_sonic [mile/hr],wind_speed_stddev_sonic [mile/hr],wind_direction_sonic [degrees],wind_direction_stddev_sonic [degrees],avg_wind_speed_merge [mile/hr],max_wind_speed_merge [mile/hr],wind_speed_stddev_merge [mile/hr],wind_direction_merge [degrees],wind_direction_stddev_merge [degrees],solar_insolation [W/m^2],station_pressure [inHg],snow_depth,frozen_soil_05cm,frozen_soil_25cm,frozen_soil_50cm,soil_temp_05cm,soil_temp_25cm,soil_temp_50cm,soil_moisture_05cm,soil_moisture_25cm,soil_moisture_50cm
SCHU,2015-08-16 00:00:00 EDT,43.11700,-73.57829,103,66.1,66.2,66.1,99.2,65.8,0.000,0.026,0.00,0.000,1.0,1.6,0.5,308,13,1.3,2.0,0.4,315,17,1.0,1.6,0.5,308,13,0,30.02,,,,,,,,,,
SCHU,2015-08-16 00:05:00 EDT,43.11700,-73.57829,103,66.0,66.1,66.0,99.2,65.8,0.000,0.000,0.00,0.000,1.0,1.6,0.2,294,9,1.3,4.9,0.4,300,11,1.0,1.6,0.2,294,9,0,30.02,,,,,,,,,,
SCHU,2015-08-16 00:10:00 EDT,43.11700,-73.57829,103,66.1,66.2,66.1,99.2,65.8,0.000,0.000,0.00,0.000,1.0,1.7,0.3,325,15,1.5,2.5,0.3,340,18,1.0,1.7,0.3,325,15,0,30.02,,,,,,,,,,
SCHU,2015-08-16 00:15:00 EDT,43.11700,-73.57829,103,66.0,66.0,66.0,98.9,65.6,0.000,0.000,0.00,0.000,1.1,2.5,0.5,12,14,1.8,5.8,0.8,17,18,1.1,2.5,0.5,12,14,0,30.02,,,,,,,,,,
SCHU,2015-08-16 00:20:00 EDT,43.11700,-73.57829,103,65.8,65.9,65.8,98.6,65.4,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.9,4.3,0.5,28,41,0.0,0.0,0.0,0,0,0,30.02,,,,,,,,,,
SCHU,2015-08-16 00:25:00 EDT,43.11700,-73.57829,103,65.9,66.0,65.9,98.7,65.5,0.000,0.000,0.00,0.000,0.5,1.5,0.6,16,10,1.4,2.5,0.5,28,18,0.5,1.5,0.6,16,10,0,30.02,,,,,,,,,,
SCHU,2015-08-16 00:30:00 EDT,43.11700,-73.57829,103,66.0,66.1,66.0,98.9,65.7,0.000,0.000,0.00,0.000,0.9,2.0,0.6,59,15,1.5,2.9,0.5,60,15,0.9,2.0,0.6,59,15,0,30.02,,,,,,,,,,
SCHU,2015-08-16 00:35:00 EDT,43.11700,-73.57829,103,65.7,65.7,65.7,98.3,65.2,0.000,0.000,0.00,0.000,0.5,1.5,0.5,65,10,1.3,4.5,0.6,64,19,0.5,1.5,0.5,65,10,0,30.02,,,,,,,,,,
SCHU,2015-08-16 00:40:00 EDT,43.11700,-73.57829,103,65.7,65.7,65.7,98.4,65.2,0.000,0.000,0.00,0.000,0.1,0.6,0.1,39,0,0.9,2.2,0.3,34,21,0.1,0.6,0.1,39,0,0,30.02,,,,,,,,,,
SCHU,2015-08-16 00:45:00 EDT,43.11700,-73.57829,103,65.7,65.6,65.7,98.4,65.2,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.4,1.8,0.3,306,65,0.0,0.0,0.0,0,0,0,30.01,,,,,,,,,,
SCHU,2015-08-16 00:50:00 EDT,43.11700,-73.57829,103,65.2,65.5,65.2,98.1,64.7,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.5,4.7,0.7,117,39,0.0,0.0,0.0,0,0,0,30.02,,,,,,,,,,
SCHU,2015-08-16 00:55:00 EDT,43.11700,-73.57829,103,65.0,65.5,65.0,98.2,64.5,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.6,3.1,0.4,108,36,0.0,0.0,0.0,0,0,0,30.02,,,,,,,,,,
SCHU,2015-08-16 01:00:00 EDT,43.11700,-73.57829,103,65.1,65.4,65.1,98.5,64.6,0.000,0.000,0.00,0.000,0.0,0.4,0.1,21,0,0.7,4.3,0.6,263,29,0.0,0.4,0.1,21,0,0,30.02,,,,,,,,,,
SCHU,2015-08-16 01:05:00 EDT,43.11700,-73.57829,103,65.2,65.4,65.2,98.8,64.8,0.000,0.000,0.00,0.000,0.6,1.2,0.3,22,0,1.0,1.8,0.3,188,17,0.6,1.2,0.3,22,0,0,30.02,,,,,,,,,,
SCHU,2015-08-16 01:10:00 EDT,43.11700,-73.57829,103,65.3,65.6,65.3,99.1,65.0,0.000,0.000,0.00,0.000,0.2,0.7,0.3,22,0,0.8,1.8,0.5,147,27,0.2,0.7,0.3,22,0,0,30.02,,,,,,,,,,
SCHU,2015-08-16 01:15:00 EDT,43.11700,-73.57829,103,65.0,65.6,65.0,99.2,64.8,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.7,2.5,0.3,72,32,0.0,0.0,0.0,0,0,0,30.02,,,,,,,,,,
SCHU,2015-08-16 01:20:00 EDT,43.11700,-73.57829,103,65.1,65.5,65.1,99.1,64.9,0.000,0.000,0.00,0.000,0.3,0.8,0.3,22,0,1.1,3.4,0.4,37,23,0.3,0.8,0.3,22,0,0,30.01,,,,,,,,,,
SCHU,2015-08-16 01:25:00 EDT,43.11700,-73.57829,103,65.4,65.4,65.4,99.2,65.1,0.000,0.000,0.00,0.000,0.9,1.7,0.4,353,16,1.5,2.5,0.4,356,20,0.9,1.7,0.4,353,16,0,30.01,,,,,,,,,,
SCHU,2015-08-16 01:30:00 EDT,43.11700,-73.57829,103,65.4,65.4,65.4,99.2,65.2,0.000,0.000,0.00,0.000,0.4,1.0,0.3,74,9,1.1,2.2,0.3,63,21,0.4,1.0,0.3,74,9,0,30.01,,,,,,,,,,
