station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m [degF],temp_9m [degF],apparent_temperature [degF],relative_humidity [percent],dewpoint [degF],precip_incremental [inch],precip_local [inch],precip_max_intensity [inch/hour],precip_1hr [inch],avg_wind_speed_prop [mile/hr],max_wind_speed_prop [mile/hr],wind_speed_stddev_prop [mile/hr],wind_direction_prop [degrees],wind_direction_stddev_prop [degrees],avg_wind_speed_sonic [mile/hr],max_wind_speed_sonic [mile/hr],wind_speed_stddev_sonic [mile/hr],wind_direction_sonic [degrees],wind_direction_stddev_sonic [degrees],avg_wind_speed_merge [mile/hr],max_wind_speed_merge [mile/hr],wind_speed_stddev_merge [mile/hr],wind_direction_merge [degrees],wind_direction_stddev_merge [degrees],solar_insolation [W/m^2],station_pressure [inHg],snow_depth,frozen_soil_05cm,frozen_soil_25cm,frozen_soil_50cm,soil_temp_05cm,soil_temp_25cm,soil_temp_50cm,soil_moisture_05cm,soil_moisture_25cm,soil_moisture_50cm
SCHU,2015-09-01 00:00:00 EDT,43.11700,-73.57829,103,65.0,65.9,65.0,98.0,64.4,0.000,0.000,0.00,0.000,0.7,1.6,0.5,307,44,1.3,2.2,0.3,312,33,0.7,1.6,0.5,307,44,0,29.87,,,,,,,,,,
SCHU,2015-09-01 00:05:00 EDT,43.11700,-73.57829,103,65.0,65.7,65.0,97.2,64.2,0.000,0.000,0.00,0.000,0.9,1.5,0.4,298,18,1.1,1.6,0.2,294,28,0.9,1.5,0.4,298,18,0,29.88,,,,,,,,,,
SCHU,2015-09-01 00:10:00 EDT,43.11700,-73.57829,103,64.5,65.4,64.5,96.5,63.5,0.000,0.000,0.00,0.000,0.2,0.9,0.3,113,38,0.9,3.8,0.5,100,41,0.2,0.9,0.3,113,38,0,29.88,,,,,,,,,,
SCHU,2015-09-01 00:15:00 EDT,43.11700,-73.57829,103,64.5,65.5,64.5,96.6,63.5,0.000,0.000,0.00,0.000,1.4,2.2,0.4,126,19,1.9,2.7,0.4,125,19,1.4,2.2,0.4,126,19,0,29.88,,,,,,,,,,
SCHU,2015-09-01 00:20:00 EDT,43.11700,-73.57829,103,63.8,65.5,63.8,96.6,62.8,0.000,0.000,0.00,0.000,1.8,2.6,0.3,179,4,2.1,2.7,0.3,176,8,1.8,2.6,0.3,179,4,0,29.88,,,,,,,,,,
SCHU,2015-09-01 00:25:00 EDT,43.11700,-73.57829,103,63.8,65.7,63.8,97.7,63.2,0.000,0.000,0.00,0.000,0.9,1.8,0.7,180,6,1.2,2.5,0.7,183,22,0.9,1.8,0.7,180,6,0,29.88,,,,,,,,,,
SCHU,2015-09-01 00:30:00 EDT,43.11700,-73.57829,103,64.5,65.5,64.5,98.5,64.1,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,1.0,2.0,0.6,115,25,0.0,0.0,0.0,0,0,0,29.88,,,,,,,,,,
SCHU,2015-09-01 00:35:00 EDT,43.11700,-73.57829,103,64.0,65.5,64.0,98.0,63.4,0.000,0.000,0.00,0.000,0.2,0.9,0.3,180,0,1.4,6.7,0.7,67,25,0.2,0.9,0.3,180,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 00:40:00 EDT,43.11700,-73.57829,103,64.0,65.4,64.0,98.0,63.5,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.6,1.8,0.3,44,61,0.0,0.0,0.0,0,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 00:45:00 EDT,43.11700,-73.57829,103,64.2,65.2,64.2,98.5,63.8,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.8,1.3,0.3,267,25,0.0,0.0,0.0,0,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 00:50:00 EDT,43.11700,-73.57829,103,64.4,65.2,64.4,98.8,64.1,0.000,0.000,0.00,0.000,0.1,0.7,0.2,181,0,1.5,2.2,0.4,64,28,0.1,0.7,0.2,181,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 00:55:00 EDT,43.11700,-73.57829,103,63.7,65.3,63.7,97.7,63.1,0.000,0.000,0.00,0.000,0.0,0.7,0.1,180,0,1.3,4.0,0.4,102,20,0.0,0.7,0.1,180,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 01:00:00 EDT,43.11700,-73.57829,103,63.6,64.9,63.6,98.3,63.1,0.000,0.000,0.00,0.000,0.6,1.3,0.4,180,0,1.4,2.5,0.4,140,15,0.6,1.3,0.4,180,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 01:05:00 EDT,43.11700,-73.57829,103,63.3,64.9,63.3,97.9,62.7,0.000,0.000,0.00,0.000,0.6,1.6,0.4,190,12,1.0,1.8,0.3,174,25,0.6,1.6,0.4,190,12,0,29.89,,,,,,,,,,
SCHU,2015-09-01 01:10:00 EDT,43.11700,-73.57829,103,63.4,64.9,63.4,98.1,62.8,0.000,0.000,0.00,0.000,0.0,0.3,0.0,209,0,0.9,1.8,0.4,115,30,0.0,0.3,0.0,209,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 01:15:00 EDT,43.11700,-73.57829,103,63.4,64.7,63.4,98.4,62.9,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.6,1.3,0.4,125,51,0.0,0.0,0.0,0,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 01:20:00 EDT,43.11700,-73.57829,103,63.6,64.6,63.6,98.6,63.2,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,1.0,1.6,0.2,329,27,0.0,0.0,0.0,0,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 01:25:00 EDT,43.11700,-73.57829,103,63.8,64.6,63.8,98.7,63.4,0.000,0.000,0.00,0.000,0.3,1.0,0.4,209,0,1.1,1.8,0.3,16,19,0.3,1.0,0.4,209,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 01:30:00 EDT,43.11700,-73.57829,103,63.6,64.7,63.6,98.7,63.2,0.000,0.000,0.00,0.000,0.1,0.5,0.2,210,0,1.1,1.8,0.3,9,17,0.1,0.5,0.2,210,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 01:35:00 EDT,43.11700,-73.57829,103,63.3,64.5,63.3,98.7,62.9,0.000,0.000,0.00,0.000,1.1,2.3,0.9,114,3,2.0,2.9,0.7,108,16,1.1,2.3,0.9,114,3,0,29.89,,,,,,,,,,
SCHU,2015-09-01 01:40:00 EDT,43.11700,-73.57829,103,62.9,64.4,62.9,98.6,62.5,0.000,0.000,0.00,0.000,0.9,1.8,0.4,130,18,1.5,2.5,0.3,127,29,0.9,1.8,0.4,130,18,0,29.89,,,,,,,,,,
SCHU,2015-09-01 01:45:00 EDT,43.11700,-73.57829,103,62.4,64.1,62.4,98.4,62.0,0.000,0.000,0.00,0.000,0.8,1.4,0.2,175,0,1.2,1.8,0.2,169,14,0.8,1.4,0.2,175,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 01:50:00 EDT,43.11700,-73.57829,103,62.3,64.1,62.3,98.5,61.8,0.000,0.000,0.00,0.000,0.8,1.2,0.2,194,6,1.0,3.1,0.3,196,14,0.8,1.2,0.2,194,6,0,29.89,,,,,,,,,,
SCHU,2015-09-01 01:55:00 EDT,43.11700,-73.57829,103,62.4,64.0,62.4,98.8,62.1,0.000,0.000,0.00,0.000,0.0,0.6,0.1,196,0,0.6,1.6,0.3,297,56,0.0,0.6,0.1,196,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 02:00:00 EDT,43.11700,-73.57829,103,63.0,63.9,63.0,99.0,62.7,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.8,2.0,0.4,112,25,0.0,0.0,0.0,0,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 02:05:00 EDT,43.11700,-73.57829,103,62.8,63.8,62.8,99.1,62.6,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,1.6,2.5,0.2,109,13,0.0,0.0,0.0,0,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 02:10:00 EDT,43.11700,-73.57829,103,61.8,63.7,61.8,98.8,61.4,0.000,0.000,0.00,0.000,0.2,1.5,0.4,136,4,1.2,2.5,0.4,130,21,0.2,1.5,0.4,136,4,0,29.89,,,,,,,,,,
SCHU,2015-09-01 02:15:00 EDT,43.11700,-73.57829,103,62.2,63.6,62.2,99.1,62.0,0.000,0.000,0.00,0.000,0.0,0.3,0.0,128,0,1.0,1.8,0.3,182,15,0.0,0.3,0.0,128,0,0,29.89,,,,,,,,,,
SCHU,2015-09-01 02:20:00 EDT,43.11700,-73.57829,103,62.2,63.4,62.2,99.2,62.0,0.000,0.000,0.00,0.000,0.2,1.1,0.3,128,0,1.0,1.6,0.2,145,10,0.2,1.1,0.3,128,0,0,29.90,,,,,,,,,,
SCHU,2015-09-01 02:25:00 EDT,43.11700,-73.57829,103,62.2,63.5,62.2,99.3,62.0,0.000,0.000,0.00,0.000,0.7,1.2,0.5,128,0,1.3,2.2,0.4,113,22,0.7,1.2,0.5,128,0,0,29.90,,,,,,,,,,
SCHU,2015-09-01 02:30:00 EDT,43.11700,-73.57829,103,61.9,63.5,61.9,99.0,61.6,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.6,1.6,0.2,61,34,0.0,0.0,0.0,0,0,0,29.90,,,,,,,,,,
SCHU,2015-09-01 02:35:00 EDT,43.11700,-73.57829,103,62.5,63.4,62.5,99.4,62.3,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.8,4.0,0.5,78,34,0.0,0.0,0.0,0,0,0,29.90,,,,,,,,,,
SCHU,2015-09-01 02:40:00 EDT,43.11700,-73.57829,103,62.4,63.1,62.4,99.5,62.3,0.000,0.000,0.00,0.000,0.7,1.4,0.5,128,0,1.5,2.2,0.5,150,16,0.7,1.4,0.5,128,0,0,29.90,,,,,,,,,,
