station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m [degF],temp_9m [degF],apparent_temperature [degF],relative_humidity [percent],dewpoint [degF],precip_incremental [inch],precip_local [inch],precip_max_intensity [inch/hour],precip_1hr [inch],avg_wind_speed_prop [mile/hr],max_wind_speed_prop [mile/hr],wind_speed_stddev_prop [mile/hr],wind_direction_prop [degrees],wind_direction_stddev_prop [degrees],avg_wind_speed_sonic [mile/hr],max_wind_speed_sonic [mile/hr],wind_speed_stddev_sonic [mile/hr],wind_direction_sonic [degrees],wind_direction_stddev_sonic [degrees],avg_wind_speed_merge [mile/hr],max_wind_speed_merge [mile/hr],wind_speed_stddev_merge [mile/hr],wind_direction_merge [degrees],wind_direction_stddev_merge [degrees],solar_insolation [W/m^2],station_pressure [inHg],snow_depth [inch],frozen_soil_05cm [bit],frozen_soil_25cm [bit],frozen_soil_50cm [bit],soil_temp_05cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],soil_moisture_05cm [m^3/m^3],soil_moisture_25cm [m^3/m^3],soil_moisture_50cm [m^3/m^3]
ADDI,2021-02-11 00:00:00 EST,42.04036,-77.23726,1665,18.2,18.6,18.2,90.7,15.9,0.000,0.018,0.00,0.007,1.5,2.3,0.3,26,4,1.6,2.6,0.3,27,6,1.6,2.6,0.3,27,6,0,28.39,8.6,0,0,0,33.3,34.7,35.8,0.37,0.38,0.44
ADDI,2021-02-11 00:05:00 EST,42.04036,-77.23726,1665,17.9,18.6,17.9,90.6,15.6,0.000,0.000,0.00,0.005,2.2,2.6,0.2,19,4,2.3,2.9,0.3,18,5,2.3,2.9,0.3,18,5,0,28.39,8.5,0,0,0,33.3,34.7,35.8,0.37,0.38,0.44
ADDI,2021-02-11 00:10:00 EST,42.04036,-77.23726,1665,17.6,18.4,17.6,90.3,15.2,0.000,0.000,0.00,0.005,2.2,2.8,0.2,17,5,2.3,2.9,0.3,15,6,2.3,2.9,0.3,15,6,0,28.39,8.5,0,0,0,33.3,34.7,35.8,0.37,0.38,0.44
ADDI,2021-02-11 00:15:00 EST,42.04036,-77.23726,1665,17.5,18.3,17.5,90.2,15.1,0.000,0.000,0.00,0.005,2.2,2.7,0.2,16,4,2.5,3.2,0.2,14,5,2.5,3.2,0.2,14,5,0,28.39,8.6,0,0,0,33.3,34.7,35.8,0.37,0.38,0.44
ADDI,2021-02-11 00:20:00 EST,42.04036,-77.23726,1665,17.3,18.1,17.3,90.3,15.0,0.000,0.000,0.00,0.002,1.8,3.1,0.8,3,10,2.1,4.2,0.8,2,11,2.1,4.2,0.8,2,11,0,28.39,8.6,0,0,0,33.3,34.7,35.8,0.37,0.38,0.44
ADDI,2021-02-11 00:25:00 EST,42.04036,-77.23726,1665,17.8,18.0,17.8,90.6,15.5,0.000,0.000,0.00,0.002,2.0,3.1,0.8,358,16,2.4,3.8,0.8,359,18,2.4,3.8,0.8,359,18,0,28.40,8.6,0,0,0,33.3,34.7,35.8,0.37,0.38,0.44
ADDI,2021-02-11 00:30:00 EST,42.04036,-77.23726,1665,18.0,18.0,18.0,90.8,15.7,0.000,0.000,0.00,0.000,1.9,2.9,0.4,356,8,2.4,4.0,0.6,356,8,2.4,4.0,0.6,356,8,0,28.40,8.6,0,0,0,33.3,34.7,35.8,0.37,0.38,0.44
ADDI,2021-02-11 00:35:00 EST,42.04036,-77.23726,1665,18.0,17.9,18.0,90.5,15.7,0.000,0.000,0.00,0.000,2.2,2.9,0.3,360,9,2.6,3.4,0.4,358,9,2.6,3.4,0.4,358,9,0,28.39,8.6,0,0,0,33.3,34.7,35.8,0.37,0.38,0.44
ADDI,2021-02-11 00:40:00 EST,42.04036,-77.23726,1665,18.0,17.9,12.4,90.2,15.6,0.000,0.000,0.00,0.000,3.1,4.1,0.4,353,10,3.7,4.8,0.5,353,8,3.7,4.8,0.5,353,8,0,28.39,8.6,0,0,0,33.3,34.7,35.8,0.37,0.38,0.44
ADDI,2021-02-11 00:45:00 EST,42.04036,-77.23726,1665,18.0,17.9,13.2,89.7,15.5,0.000,0.000,0.00,0.000,2.6,3.4,0.5,346,16,3.2,4.3,0.6,344,11,3.2,4.3,0.6,344,11,0,28.40,8.6,0,0,0,33.3,34.7,35.8,0.37,0.38,0.44
