station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m [degF],temp_9m [degF],apparent_temperature [degF],relative_humidity [percent],dewpoint [degF],precip_incremental [inch],precip_local [inch],precip_max_intensity [inch/hour],precip_1hr [inch],avg_wind_speed_prop [mile/hr],max_wind_speed_prop [mile/hr],wind_speed_stddev_prop [mile/hr],wind_direction_prop [degrees],wind_direction_stddev_prop [degrees],avg_wind_speed_sonic [mile/hr],max_wind_speed_sonic [mile/hr],wind_speed_stddev_sonic [mile/hr],wind_direction_sonic [degrees],wind_direction_stddev_sonic [degrees],avg_wind_speed_merge [mile/hr],max_wind_speed_merge [mile/hr],wind_speed_stddev_merge [mile/hr],wind_direction_merge [degrees],wind_direction_stddev_merge [degrees],solar_insolation [W/m^2],station_pressure [inHg],snow_depth,frozen_soil_05cm,frozen_soil_25cm,frozen_soil_50cm,soil_temp_05cm,soil_temp_25cm,soil_temp_50cm,soil_moisture_05cm,soil_moisture_25cm,soil_moisture_50cm
SCHU,2015-09-08 00:00:00 EDT,43.11700,-73.57829,103,68.2,70.2,68.2,97.2,67.4,0.000,0.000,0.00,0.000,1.1,1.8,0.4,115,0,1.5,2.2,0.4,120,9,1.1,1.8,0.4,115,0,0,29.84,,,,,,,,,,
SCHU,2015-09-08 00:05:00 EDT,43.11700,-73.57829,103,68.1,69.9,68.1,97.7,67.4,0.000,0.000,0.00,0.000,0.8,1.2,0.2,109,1,1.3,2.0,0.2,119,17,0.8,1.2,0.2,109,1,0,29.84,,,,,,,,,,
SCHU,2015-09-08 00:10:00 EDT,43.11700,-73.57829,103,68.3,69.9,68.3,98.3,67.8,0.000,0.000,0.00,0.000,1.3,2.0,0.3,115,11,1.9,5.6,0.5,116,15,1.3,2.0,0.3,115,11,0,29.84,,,,,,,,,,
SCHU,2015-09-08 00:15:00 EDT,43.11700,-73.57829,103,68.4,69.5,68.4,98.4,67.9,0.000,0.000,0.00,0.000,0.8,1.6,0.4,128,8,1.2,2.2,0.4,133,17,0.8,1.6,0.4,128,8,0,29.84,,,,,,,,,,
SCHU,2015-09-08 00:20:00 EDT,43.11700,-73.57829,103,68.6,69.4,68.6,98.6,68.2,0.000,0.000,0.00,0.000,0.3,1.0,0.4,145,0,0.9,4.5,0.6,122,28,0.3,1.0,0.4,145,0,0,29.84,,,,,,,,,,
SCHU,2015-09-08 00:25:00 EDT,43.11700,-73.57829,103,68.7,69.4,68.7,98.5,68.3,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.6,1.1,0.2,96,32,0.0,0.0,0.0,0,0,0,29.84,,,,,,,,,,
SCHU,2015-09-08 00:30:00 EDT,43.11700,-73.57829,103,69.0,69.8,69.0,98.6,68.5,0.000,0.000,0.00,0.000,0.0,0.7,0.2,145,0,0.8,1.6,0.4,94,28,0.0,0.7,0.2,145,0,0,29.84,,,,,,,,,,
SCHU,2015-09-08 00:35:00 EDT,43.11700,-73.57829,103,68.4,69.9,68.4,98.2,67.8,0.000,0.000,0.00,0.000,0.9,1.6,0.4,127,5,1.4,2.2,0.3,112,11,0.9,1.6,0.4,127,5,0,29.85,,,,,,,,,,
SCHU,2015-09-08 00:40:00 EDT,43.11700,-73.57829,103,68.2,69.8,68.2,98.4,67.8,0.000,0.000,0.00,0.000,0.8,1.4,0.2,125,0,1.3,2.0,0.3,124,12,0.8,1.4,0.2,125,0,0,29.85,,,,,,,,,,
SCHU,2015-09-08 00:45:00 EDT,43.11700,-73.57829,103,68.3,69.7,68.3,98.7,67.9,0.000,0.000,0.00,0.000,1.0,1.5,0.3,124,6,1.5,2.2,0.3,130,13,1.0,1.5,0.3,124,6,0,29.85,,,,,,,,,,
