station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m [degF],temp_9m [degF],apparent_temperature [degF],relative_humidity [percent],dewpoint [degF],precip_incremental [inch],precip_local [inch],precip_max_intensity [inch/hour],precip_1hr [inch],avg_wind_speed_prop [mile/hr],max_wind_speed_prop [mile/hr],wind_speed_stddev_prop [mile/hr],wind_direction_prop [degrees],wind_direction_stddev_prop [degrees],avg_wind_speed_sonic [mile/hr],max_wind_speed_sonic [mile/hr],wind_speed_stddev_sonic [mile/hr],wind_direction_sonic [degrees],wind_direction_stddev_sonic [degrees],avg_wind_speed_merge [mile/hr],max_wind_speed_merge [mile/hr],wind_speed_stddev_merge [mile/hr],wind_direction_merge [degrees],wind_direction_stddev_merge [degrees],solar_insolation [W/m^2],station_pressure [inHg],snow_depth,frozen_soil_05cm [bit],frozen_soil_25cm [bit],frozen_soil_50cm [bit],soil_temp_05cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],soil_moisture_05cm [m^3/m^3],soil_moisture_25cm [m^3/m^3],soil_moisture_50cm [m^3/m^3]
SCHU,2015-10-11 00:00:00 EDT,43.11700,-73.57829,103,42.4,43.0,42.4,93.6,40.7,0.000,0.000,0.00,0.000,1.9,3.4,0.6,148,17,2.3,4.3,0.7,140,15,1.9,3.4,0.6,148,17,0,29.93,,,,,,,,,,
SCHU,2015-10-11 00:05:00 EDT,43.11700,-73.57829,103,41.6,42.8,41.6,93.8,39.9,0.000,0.000,0.00,0.000,2.1,3.1,0.4,137,12,2.4,3.8,0.5,133,9,2.1,3.1,0.4,137,12,0,29.93,,,,,,,,,,
SCHU,2015-10-11 00:10:00 EDT,43.11700,-73.57829,103,41.1,42.8,41.1,95.7,40.0,0.000,0.000,0.00,0.000,2.1,3.0,0.3,133,10,2.4,3.6,0.4,130,8,2.1,3.0,0.3,133,10,0,29.93,,,,,,,,,,
SCHU,2015-10-11 00:15:00 EDT,43.11700,-73.57829,103,41.5,42.6,41.5,96.8,40.7,0.000,0.000,0.00,0.000,1.6,2.9,0.6,119,11,2.0,3.4,0.6,116,12,1.6,2.9,0.6,119,11,0,29.93,,,,,,,,,,
SCHU,2015-10-11 00:20:00 EDT,43.11700,-73.57829,103,41.0,42.2,41.0,95.7,39.9,0.000,0.000,0.00,0.000,1.5,2.1,0.3,119,10,2.0,3.1,0.4,119,12,1.5,2.1,0.3,119,10,0,29.93,,,,,,,,,,
SCHU,2015-10-11 00:25:00 EDT,43.11700,-73.57829,103,40.2,41.8,40.2,95.5,39.1,0.000,0.000,0.00,0.000,1.2,1.8,0.3,129,0,1.6,2.2,0.3,126,6,1.2,1.8,0.3,129,0,0,29.93,,,,,,,,,,
SCHU,2015-10-11 00:30:00 EDT,43.11700,-73.57829,103,40.4,41.7,40.4,97.8,39.8,0.000,0.000,0.00,0.000,1.2,2.0,0.2,128,5,1.6,2.2,0.3,126,8,1.2,2.0,0.2,128,5,0,29.93,,,,,,,,,,
SCHU,2015-10-11 00:35:00 EDT,43.11700,-73.57829,103,40.4,41.4,40.4,98.2,39.9,0.000,0.000,0.00,0.000,0.0,0.7,0.2,124,0,0.8,1.6,0.3,181,32,0.0,0.7,0.2,124,0,0,29.93,,,,,,,,,,
SCHU,2015-10-11 00:40:00 EDT,43.11700,-73.57829,103,40.5,41.4,40.5,98.5,40.1,0.000,0.000,0.00,0.000,0.9,1.8,0.6,146,10,1.5,2.5,0.4,146,9,0.9,1.8,0.6,146,10,0,29.93,,,,,,,,,,
SCHU,2015-10-11 00:45:00 EDT,43.11700,-73.57829,103,40.6,41.4,40.6,98.8,40.3,0.000,0.000,0.00,0.000,1.1,1.8,0.4,148,6,1.5,2.2,0.4,142,7,1.1,1.8,0.4,148,6,0,29.93,,,,,,,,,,
SCHU,2015-10-11 00:50:00 EDT,43.11700,-73.57829,103,40.4,41.4,40.4,98.8,40.1,0.000,0.000,0.00,0.000,1.2,1.8,0.3,144,8,1.6,2.2,0.3,137,7,1.2,1.8,0.3,144,8,0,29.93,,,,,,,,,,
SCHU,2015-10-11 00:55:00 EDT,43.11700,-73.57829,103,40.0,41.6,40.0,98.7,39.7,0.000,0.000,0.00,0.000,1.4,2.0,0.2,132,4,1.8,2.5,0.3,129,6,1.4,2.0,0.2,132,4,0,29.93,,,,,,,,,,
SCHU,2015-10-11 01:00:00 EDT,43.11700,-73.57829,103,40.7,41.8,40.7,99.2,40.5,0.000,0.000,0.00,0.000,2.1,3.0,0.3,136,8,2.4,3.8,0.4,133,7,2.1,3.0,0.3,136,8,0,29.93,,,,,,,,,,
SCHU,2015-10-11 01:05:00 EDT,43.11700,-73.57829,103,41.4,41.9,41.4,99.3,41.2,0.000,0.000,0.00,0.000,2.2,3.2,0.4,131,17,2.5,3.6,0.5,127,15,2.2,3.2,0.4,131,17,0,29.93,,,,,,,,,,
SCHU,2015-10-11 01:10:00 EDT,43.11700,-73.57829,103,40.8,41.7,40.8,98.5,40.4,0.000,0.000,0.00,0.000,1.7,2.6,0.4,137,13,2.1,3.4,0.4,133,12,1.7,2.6,0.4,137,13,0,29.93,,,,,,,,,,
SCHU,2015-10-11 01:15:00 EDT,43.11700,-73.57829,103,40.5,41.6,40.5,98.0,40.0,0.000,0.000,0.00,0.000,1.8,2.7,0.4,140,10,2.1,3.6,0.5,134,9,1.8,2.7,0.4,140,10,0,29.92,,,,,,,,,,
SCHU,2015-10-11 01:20:00 EDT,43.11700,-73.57829,103,40.7,41.4,40.7,98.1,40.2,0.000,0.000,0.00,0.000,1.5,2.5,0.4,136,10,1.8,2.9,0.4,133,10,1.5,2.5,0.4,136,10,0,29.92,,,,,,,,,,
SCHU,2015-10-11 01:25:00 EDT,43.11700,-73.57829,103,40.8,41.4,40.8,98.7,40.5,0.000,0.000,0.00,0.000,1.7,2.4,0.3,140,13,2.0,2.9,0.4,136,11,1.7,2.4,0.3,140,13,0,29.92,,,,,,,,,,
SCHU,2015-10-11 01:30:00 EDT,43.11700,-73.57829,103,40.6,41.4,40.6,98.5,40.2,0.000,0.000,0.00,0.000,1.4,2.4,0.4,134,10,1.9,2.7,0.4,129,13,1.4,2.4,0.4,134,10,0,29.92,,,,,,,,,,
SCHU,2015-10-11 01:35:00 EDT,43.11700,-73.57829,103,40.5,41.5,40.5,98.5,40.1,0.000,0.000,0.00,0.000,0.8,1.8,0.5,134,8,1.4,2.5,0.4,115,22,0.8,1.8,0.5,134,8,0,29.92,,,,,,,,,,
SCHU,2015-10-11 01:40:00 EDT,43.11700,-73.57829,103,40.6,41.5,40.6,98.6,40.3,0.000,0.000,0.00,0.000,1.4,3.0,0.7,131,9,1.9,3.4,0.6,125,12,1.4,3.0,0.7,131,9,0,29.91,,,,,,,,,,
SCHU,2015-10-11 01:45:00 EDT,43.11700,-73.57829,103,40.2,41.5,40.2,98.1,39.7,0.000,0.000,0.00,0.000,1.3,2.5,0.4,132,7,1.7,3.1,0.4,128,10,1.3,2.5,0.4,132,7,0,29.91,,,,,,,,,,
SCHU,2015-10-11 01:50:00 EDT,43.11700,-73.57829,103,40.3,41.2,40.3,98.1,39.8,0.000,0.000,0.00,0.000,0.4,1.2,0.4,151,35,0.9,2.0,0.5,176,67,0.4,1.2,0.4,151,35,0,29.91,,,,,,,,,,
SCHU,2015-10-11 01:55:00 EDT,43.11700,-73.57829,103,40.4,41.1,40.4,98.5,40.0,0.000,0.000,0.00,0.000,0.4,0.8,0.3,249,0,0.7,1.1,0.2,260,23,0.4,0.8,0.3,249,0,0,29.91,,,,,,,,,,
SCHU,2015-10-11 02:00:00 EDT,43.11700,-73.57829,103,40.2,40.9,40.2,98.7,39.8,0.000,0.000,0.00,0.000,0.2,0.7,0.3,249,0,0.6,0.9,0.2,190,32,0.2,0.7,0.3,249,0,0,29.91,,,,,,,,,,
SCHU,2015-10-11 02:05:00 EDT,43.11700,-73.57829,103,39.9,40.6,39.9,98.6,39.5,0.000,0.000,0.00,0.000,0.1,1.5,0.3,134,13,1.2,2.2,0.3,130,10,0.1,1.5,0.3,134,13,0,29.91,,,,,,,,,,
SCHU,2015-10-11 02:10:00 EDT,43.11700,-73.57829,103,39.8,40.7,39.8,98.8,39.5,0.000,0.000,0.00,0.000,1.9,2.4,0.2,134,4,2.2,2.9,0.3,132,4,1.9,2.4,0.2,134,4,0,29.90,,,,,,,,,,
SCHU,2015-10-11 02:15:00 EDT,43.11700,-73.57829,103,40.1,40.8,40.1,99.0,39.8,0.000,0.000,0.00,0.000,1.9,3.0,0.4,130,8,2.2,3.4,0.5,127,8,1.9,3.0,0.4,130,8,0,29.90,,,,,,,,,,
SCHU,2015-10-11 02:20:00 EDT,43.11700,-73.57829,103,40.1,40.9,40.1,99.1,39.9,0.000,0.000,0.00,0.000,2.0,3.8,0.6,131,13,2.3,4.0,0.6,128,11,2.0,3.8,0.6,131,13,0,29.89,,,,,,,,,,
SCHU,2015-10-11 02:25:00 EDT,43.11700,-73.57829,103,39.8,40.7,39.8,98.6,39.4,0.000,0.000,0.00,0.000,1.5,2.3,0.3,145,10,1.8,2.7,0.3,140,10,1.5,2.3,0.3,145,10,0,29.89,,,,,,,,,,
SCHU,2015-10-11 02:30:00 EDT,43.11700,-73.57829,103,39.5,40.6,39.5,98.6,39.2,0.000,0.000,0.00,0.000,1.0,1.8,0.6,152,11,1.3,2.5,0.5,143,15,1.0,1.8,0.6,152,11,0,29.89,,,,,,,,,,
SCHU,2015-10-11 02:35:00 EDT,43.11700,-73.57829,103,39.6,40.5,39.6,98.6,39.3,0.000,0.000,0.00,0.000,0.6,2.4,0.7,191,12,1.0,2.9,0.6,180,34,0.6,2.4,0.7,191,12,0,29.89,,,,,,,,,,
SCHU,2015-10-11 02:40:00 EDT,43.11700,-73.57829,103,39.3,40.6,39.3,98.7,39.0,0.000,0.000,0.00,0.000,0.6,1.5,0.5,185,10,1.0,1.8,0.4,179,22,0.6,1.5,0.5,185,10,0,29.89,,,,,,,,,,
SCHU,2015-10-11 02:45:00 EDT,43.11700,-73.57829,103,39.4,40.4,39.4,98.9,39.2,0.000,0.000,0.00,0.000,0.7,1.8,0.5,125,16,1.3,2.7,0.5,118,21,0.7,1.8,0.5,125,16,0,29.89,,,,,,,,,,
