station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m [degF],temp_9m [degF],apparent_temperature [degF],relative_humidity [percent],dewpoint [degF],precip_incremental [inch],precip_local [inch],precip_max_intensity [inch/hour],precip_1hr [inch],avg_wind_speed_prop [mile/hr],max_wind_speed_prop [mile/hr],wind_speed_stddev_prop [mile/hr],wind_direction_prop [degrees],wind_direction_stddev_prop [degrees],avg_wind_speed_sonic [mile/hr],max_wind_speed_sonic [mile/hr],wind_speed_stddev_sonic [mile/hr],wind_direction_sonic [degrees],wind_direction_stddev_sonic [degrees],avg_wind_speed_merge [mile/hr],max_wind_speed_merge [mile/hr],wind_speed_stddev_merge [mile/hr],wind_direction_merge [degrees],wind_direction_stddev_merge [degrees],solar_insolation [W/m^2],station_pressure [inHg],snow_depth,frozen_soil_05cm,frozen_soil_25cm,frozen_soil_50cm,soil_temp_05cm,soil_temp_25cm,soil_temp_50cm,soil_moisture_05cm,soil_moisture_25cm,soil_moisture_50cm
SCHU,2015-08-22 00:00:00 EDT,43.11700,-73.57829,103,61.0,61.9,61.0,96.9,60.2,0.000,0.205,0.00,0.000,0.0,0.0,0.0,0,0,0.8,1.3,0.3,137,30,0.0,0.0,0.0,0,0,0,29.99,,,,,,,,,,
SCHU,2015-08-22 00:05:00 EDT,43.11700,-73.57829,103,60.6,61.8,60.6,97.2,59.8,0.000,0.000,0.00,0.000,0.1,0.7,0.2,202,0,1.2,2.0,0.3,134,15,0.1,0.7,0.2,202,0,0,29.99,,,,,,,,,,
SCHU,2015-08-22 00:10:00 EDT,43.11700,-73.57829,103,60.5,61.5,60.5,96.1,59.4,0.000,0.000,0.00,0.000,0.1,0.7,0.2,202,0,1.1,2.0,0.5,152,24,0.1,0.7,0.2,202,0,0,29.99,,,,,,,,,,
SCHU,2015-08-22 00:15:00 EDT,43.11700,-73.57829,103,60.6,61.6,60.6,97.1,59.8,0.000,0.000,0.00,0.000,0.5,1.5,0.5,109,13,1.4,3.4,0.5,107,22,0.5,1.5,0.5,109,13,0,29.99,,,,,,,,,,
SCHU,2015-08-22 00:20:00 EDT,43.11700,-73.57829,103,60.2,61.6,60.2,96.7,59.3,0.000,0.000,0.00,0.000,0.5,1.2,0.4,120,34,1.0,2.5,0.5,111,44,0.5,1.2,0.4,120,34,0,29.99,,,,,,,,,,
SCHU,2015-08-22 00:25:00 EDT,43.11700,-73.57829,103,60.2,61.5,60.2,96.8,59.3,0.000,0.000,0.00,0.000,0.8,1.7,0.7,214,4,0.9,1.6,0.5,206,16,0.8,1.7,0.7,214,4,0,29.99,,,,,,,,,,
SCHU,2015-08-22 00:30:00 EDT,43.11700,-73.57829,103,60.1,61.0,60.1,95.9,59.0,0.000,0.000,0.00,0.000,0.0,0.1,0.0,215,0,0.8,5.6,0.6,256,53,0.0,0.1,0.0,215,0,0,29.99,,,,,,,,,,
SCHU,2015-08-22 00:35:00 EDT,43.11700,-73.57829,103,59.9,60.9,59.9,95.4,58.6,0.000,0.000,0.00,0.000,0.3,1.1,0.4,215,0,0.9,1.6,0.3,264,45,0.3,1.1,0.4,215,0,0,29.99,,,,,,,,,,
SCHU,2015-08-22 00:40:00 EDT,43.11700,-73.57829,103,59.5,61.0,59.5,95.8,58.3,0.000,0.000,0.00,0.000,0.0,0.3,0.0,215,0,0.5,0.9,0.2,186,62,0.0,0.3,0.0,215,0,0,29.99,,,,,,,,,,
SCHU,2015-08-22 00:45:00 EDT,43.11700,-73.57829,103,59.6,60.8,59.6,96.9,58.8,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.9,1.1,0.2,135,14,0.0,0.0,0.0,0,0,0,29.99,,,,,,,,,,
SCHU,2015-08-22 00:50:00 EDT,43.11700,-73.57829,103,59.4,60.5,59.4,97.7,58.7,0.000,0.000,0.00,0.000,0.0,1.1,0.1,128,1,1.2,2.7,0.3,120,19,0.0,1.1,0.1,128,1,0,29.99,,,,,,,,,,
SCHU,2015-08-22 00:55:00 EDT,43.11700,-73.57829,103,59.6,60.9,59.6,98.3,59.1,0.000,0.000,0.00,0.000,0.3,1.5,0.5,103,5,0.9,2.2,0.6,99,22,0.3,1.5,0.5,103,5,0,29.99,,,,,,,,,,
SCHU,2015-08-22 01:00:00 EDT,43.11700,-73.57829,103,59.4,60.6,59.4,98.0,58.9,0.000,0.000,0.00,0.000,0.1,0.7,0.2,94,0,0.7,1.3,0.3,183,58,0.1,0.7,0.2,94,0,0,29.99,,,,,,,,,,
SCHU,2015-08-22 01:05:00 EDT,43.11700,-73.57829,103,59.5,60.4,59.5,98.2,59.0,0.000,0.000,0.00,0.000,0.7,1.5,0.5,197,36,1.1,1.6,0.3,221,14,0.7,1.5,0.5,197,36,0,29.99,,,,,,,,,,
SCHU,2015-08-22 01:10:00 EDT,43.11700,-73.57829,103,59.3,60.3,59.3,97.6,58.7,0.000,0.000,0.00,0.000,0.6,1.5,0.6,235,3,0.9,1.8,0.4,225,21,0.6,1.5,0.6,235,3,0,29.99,,,,,,,,,,
SCHU,2015-08-22 01:15:00 EDT,43.11700,-73.57829,103,59.4,60.3,59.4,97.3,58.7,0.000,0.000,0.00,0.000,0.2,1.2,0.3,267,13,0.8,1.6,0.3,290,16,0.2,1.2,0.3,267,13,0,29.99,,,,,,,,,,
SCHU,2015-08-22 01:20:00 EDT,43.11700,-73.57829,103,59.8,60.7,59.8,97.7,59.2,0.000,0.000,0.00,0.000,0.3,1.1,0.4,330,27,1.0,1.6,0.3,36,33,0.3,1.1,0.4,330,27,0,29.99,,,,,,,,,,
SCHU,2015-08-22 01:25:00 EDT,43.11700,-73.57829,103,58.8,60.4,58.8,96.7,57.9,0.000,0.000,0.00,0.000,0.2,0.7,0.2,163,13,1.0,1.8,0.3,134,34,0.2,0.7,0.2,163,13,0,30.00,,,,,,,,,,
SCHU,2015-08-22 01:30:00 EDT,43.11700,-73.57829,103,59.0,60.4,59.0,98.0,58.5,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,1.2,2.0,0.4,100,9,0.0,0.0,0.0,0,0,0,30.00,,,,,,,,,,
SCHU,2015-08-22 01:35:00 EDT,43.11700,-73.57829,103,58.8,60.2,58.8,98.4,58.3,0.000,0.000,0.00,0.000,0.6,1.3,0.4,190,11,1.1,1.8,0.3,167,30,0.6,1.3,0.4,190,11,0,29.99,,,,,,,,,,
SCHU,2015-08-22 01:40:00 EDT,43.11700,-73.57829,103,59.2,60.2,59.2,98.7,58.8,0.000,0.000,0.00,0.000,0.1,0.7,0.2,195,0,0.5,1.6,0.2,237,31,0.1,0.7,0.2,195,0,0,30.00,,,,,,,,,,
SCHU,2015-08-22 01:45:00 EDT,43.11700,-73.57829,103,59.1,60.1,59.1,98.7,58.7,0.000,0.000,0.00,0.000,0.0,0.4,0.1,195,0,0.6,0.9,0.2,223,21,0.0,0.4,0.1,195,0,0,30.00,,,,,,,,,,
SCHU,2015-08-22 01:50:00 EDT,43.11700,-73.57829,103,59.1,60.1,59.1,98.7,58.7,0.000,0.000,0.00,0.000,1.0,1.5,0.2,195,0,1.2,1.6,0.2,192,8,1.0,1.5,0.2,195,0,0,30.00,,,,,,,,,,
SCHU,2015-08-22 01:55:00 EDT,43.11700,-73.57829,103,58.9,59.8,58.9,98.8,58.6,0.000,0.000,0.00,0.000,0.1,0.8,0.2,195,0,0.8,1.3,0.2,240,17,0.1,0.8,0.2,195,0,0,30.00,,,,,,,,,,
SCHU,2015-08-22 02:00:00 EDT,43.11700,-73.57829,103,59.1,59.8,59.1,98.7,58.8,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.9,2.5,0.5,120,23,0.0,0.0,0.0,0,0,0,30.00,,,,,,,,,,
SCHU,2015-08-22 02:05:00 EDT,43.11700,-73.57829,103,58.8,60.0,58.8,98.9,58.5,0.000,0.000,0.00,0.000,0.4,1.2,0.4,64,9,1.2,2.0,0.4,57,19,0.4,1.2,0.4,64,9,0,30.00,,,,,,,,,,
SCHU,2015-08-22 02:10:00 EDT,43.11700,-73.57829,103,58.7,59.8,58.7,98.6,58.3,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.4,0.7,0.2,48,39,0.0,0.0,0.0,0,0,0,30.00,,,,,,,,,,
