"Time Stamp","Time Zone","Name","PTID","Load"
"03/19/2011 00:00:00","EDT","CAPITL",61757,998.3
"03/19/2011 00:00:00","EDT","CENTRL",61754,1521.2
"03/19/2011 00:00:00","EDT","DUNWOD",61760,598.2
"03/19/2011 00:00:00","EDT","GENESE",61753,902.5
"03/19/2011 00:00:00","EDT","HUD VL",61758,821.5
"03/19/2011 00:00:00","EDT","LONGIL",61762,1899.9
"03/19/2011 00:00:00","EDT","MHK VL",61756,657.1
"03/19/2011 00:00:00","EDT","MILLWD",61759,256.7
"03/19/2011 00:00:00","EDT","N.Y.C.",61761,4961
"03/19/2011 00:00:00","EDT","NORTH",61755,543.4
"03/19/2011 00:00:00","EDT","WEST",61752,1637.3
"03/19/2011 00:05:00","EDT","CAPITL",61757,994.6
"03/19/2011 00:05:00","EDT","CENTRL",61754,1509.4
"03/19/2011 00:05:00","EDT","DUNWOD",61760,586.5
"03/19/2011 00:05:00","EDT","GENESE",61753,903.3
"03/19/2011 00:05:00","EDT","HUD VL",61758,845.7
"03/19/2011 00:05:00","EDT","LONGIL",61762,1876.6
"03/19/2011 00:05:00","EDT","MHK VL",61756,658.9
"03/19/2011 00:05:00","EDT","MILLWD",61759,234.9
"03/19/2011 00:05:00","EDT","N.Y.C.",61761,4903.9
"03/19/2011 00:05:00","EDT","NORTH",61755,535.4
"03/19/2011 00:05:00","EDT","WEST",61752,1636.4
"03/19/2011 00:10:00","EDT","CAPITL",61757,986.7
"03/19/2011 00:10:00","EDT","CENTRL",61754,1495.7
"03/19/2011 00:10:00","EDT","DUNWOD",61760,578.7
"03/19/2011 00:10:00","EDT","GENESE",61753,886.6
"03/19/2011 00:10:00","EDT","HUD VL",61758,821.6
"03/19/2011 00:10:00","EDT","LONGIL",61762,1869.7
"03/19/2011 00:10:00","EDT","MHK VL",61756,658.9
"03/19/2011 00:10:00","EDT","MILLWD",61759,246.8
"03/19/2011 00:10:00","EDT","N.Y.C.",61761,4824.6
"03/19/2011 00:10:00","EDT","NORTH",61755,533.9
"03/19/2011 00:10:00","EDT","WEST",61752,1617.7
"03/19/2011 00:15:00","EDT","CAPITL",61757,980.4
"03/19/2011 00:15:00","EDT","CENTRL",61754,1493.3
"03/19/2011 00:15:00","EDT","DUNWOD",61760,569.7
"03/19/2011 00:15:00","EDT","GENESE",61753,884.7
"03/19/2011 00:15:00","EDT","HUD VL",61758,849.5
"03/19/2011 00:15:00","EDT","LONGIL",61762,1870.2
"03/19/2011 00:15:00","EDT","MHK VL",61756,668.4
"03/19/2011 00:15:00","EDT","MILLWD",61759,222.7
"03/19/2011 00:15:00","EDT","N.Y.C.",61761,4839.2
"03/19/2011 00:15:00","EDT","NORTH",61755,526.7
"03/19/2011 00:15:00","EDT","WEST",61752,1609.2
"03/19/2011 00:20:00","EDT","CAPITL",61757,979.6
"03/19/2011 00:20:00","EDT","CENTRL",61754,1472.7
"03/19/2011 00:20:00","EDT","DUNWOD",61760,573.5
"03/19/2011 00:20:00","EDT","GENESE",61753,888.8
"03/19/2011 00:20:00","EDT","HUD VL",61758,859.9
"03/19/2011 00:20:00","EDT","LONGIL",61762,1841.8
"03/19/2011 00:20:00","EDT","MHK VL",61756,652.2
"03/19/2011 00:20:00","EDT","MILLWD",61759,258.8
"03/19/2011 00:20:00","EDT","N.Y.C.",61761,4779.6
"03/19/2011 00:20:00","EDT","NORTH",61755,537.8
"03/19/2011 00:20:00","EDT","WEST",61752,1598.5
"03/19/2011 00:25:00","EDT","CAPITL",61757,1000.5
"03/19/2011 00:25:00","EDT","CENTRL",61754,1483.9
"03/19/2011 00:25:00","EDT","DUNWOD",61760,560.1
"03/19/2011 00:25:00","EDT","GENESE",61753,882.2
"03/19/2011 00:25:00","EDT","HUD VL",61758,831.8
"03/19/2011 00:25:00","EDT","LONGIL",61762,1845.1
"03/19/2011 00:25:00","EDT","MHK VL",61756,658.2
"03/19/2011 00:25:00","EDT","MILLWD",61759,255.3
"03/19/2011 00:25:00","EDT","N.Y.C.",61761,4775.5
"03/19/2011 00:25:00","EDT","NORTH",61755,535.9
"03/19/2011 00:25:00","EDT","WEST",61752,1597.7
"03/19/2011 00:30:00","EDT","CAPITL",61757,980.9
"03/19/2011 00:30:00","EDT","CENTRL",61754,1485.5
"03/19/2011 00:30:00","EDT","DUNWOD",61760,530.7
"03/19/2011 00:30:00","EDT","GENESE",61753,877.9
"03/19/2011 00:30:00","EDT","HUD VL",61758,833.4
"03/19/2011 00:30:00","EDT","LONGIL",61762,1835
"03/19/2011 00:30:00","EDT","MHK VL",61756,654.3
"03/19/2011 00:30:00","EDT","MILLWD",61759,239.9
"03/19/2011 00:30:00","EDT","N.Y.C.",61761,4734.4
"03/19/2011 00:30:00","EDT","NORTH",61755,536.7
"03/19/2011 00:30:00","EDT","WEST",61752,1595.4
"03/19/2011 00:35:00","EDT","CAPITL",61757,962.4
"03/19/2011 00:35:00","EDT","CENTRL",61754,1487.1
"03/19/2011 00:35:00","EDT","DUNWOD",61760,524.9
"03/19/2011 00:35:00","EDT","GENESE",61753,873
"03/19/2011 00:35:00","EDT","HUD VL",61758,843.5
"03/19/2011 00:35:00","EDT","LONGIL",61762,1810.1
"03/19/2011 00:35:00","EDT","MHK VL",61756,654.6
"03/19/2011 00:35:00","EDT","MILLWD",61759,227
"03/19/2011 00:35:00","EDT","N.Y.C.",61761,4728.3
"03/19/2011 00:35:00","EDT","NORTH",61755,532.2
"03/19/2011 00:35:00","EDT","WEST",61752,1605.2
"03/19/2011 00:40:00","EDT","CAPITL",61757,970.2
"03/19/2011 00:40:00","EDT","CENTRL",61754,1475.3
"03/19/2011 00:40:00","EDT","DUNWOD",61760,524.7
"03/19/2011 00:40:00","EDT","GENESE",61753,873.6
