"Time Stamp","Time Zone","Name","PTID","Load"
"03/21/2002 00:00:00","EST","CAPITL",61757,1062
"03/21/2002 00:00:00","EST","CENTRL",61754,1694
"03/21/2002 00:00:00","EST","DUNWOD",61760,432
"03/21/2002 00:00:00","EST","GENESE",61753,952
"03/21/2002 00:00:00","EST","HUD VL",61758,887
"03/21/2002 00:00:00","EST","MHK VL",61756,671
"03/21/2002 00:00:00","EST","MILLWD",61759,290
"03/21/2002 00:00:00","EST","N.Y.C._LONGIL",,6650
"03/21/2002 00:00:00","EST","NORTH",61755,749
"03/21/2002 00:00:00","EST","WEST",61752,1685
"03/21/2002 00:00:45","EST","CAPITL",61757,1065
"03/21/2002 00:00:45","EST","CENTRL",61754,1673
"03/21/2002 00:00:45","EST","DUNWOD",61760,429
"03/21/2002 00:00:45","EST","GENESE",61753,954
"03/21/2002 00:00:45","EST","HUD VL",61758,875
"03/21/2002 00:00:45","EST","MHK VL",61756,670
"03/21/2002 00:00:45","EST","MILLWD",61759,283
"03/21/2002 00:00:45","EST","N.Y.C._LONGIL",,6614
"03/21/2002 00:00:45","EST","NORTH",61755,727
"03/21/2002 00:00:45","EST","WEST",61752,1661
"03/21/2002 00:05:15","EST","CAPITL",61757,1064
"03/21/2002 00:05:15","EST","CENTRL",61754,1664
"03/21/2002 00:05:15","EST","DUNWOD",61760,433
"03/21/2002 00:05:15","EST","GENESE",61753,943
"03/21/2002 00:05:15","EST","HUD VL",61758,874
"03/21/2002 00:05:15","EST","MHK VL",61756,674
"03/21/2002 00:05:15","EST","MILLWD",61759,287
"03/21/2002 00:05:15","EST","N.Y.C._LONGIL",,6601
"03/21/2002 00:05:15","EST","NORTH",61755,714
"03/21/2002 00:05:15","EST","WEST",61752,1661
"03/21/2002 00:06:45","EST","CAPITL",61757,1063
"03/21/2002 00:06:45","EST","CENTRL",61754,1677
"03/21/2002 00:06:45","EST","DUNWOD",61760,421
"03/21/2002 00:06:45","EST","GENESE",61753,941
"03/21/2002 00:06:45","EST","HUD VL",61758,885
"03/21/2002 00:06:45","EST","MHK VL",61756,666
"03/21/2002 00:06:45","EST","MILLWD",61759,282
"03/21/2002 00:06:45","EST","N.Y.C._LONGIL",,6550
"03/21/2002 00:06:45","EST","NORTH",61755,721
"03/21/2002 00:06:45","EST","WEST",61752,1649
"03/21/2002 00:11:45","EST","CAPITL",61757,1053
"03/21/2002 00:11:45","EST","CENTRL",61754,1660
"03/21/2002 00:11:45","EST","DUNWOD",61760,425
"03/21/2002 00:11:45","EST","GENESE",61753,938
"03/21/2002 00:11:45","EST","HUD VL",61758,849
"03/21/2002 00:11:45","EST","MHK VL",61756,652
"03/21/2002 00:11:45","EST","MILLWD",61759,279
"03/21/2002 00:11:45","EST","N.Y.C._LONGIL",,6481
"03/21/2002 00:11:45","EST","NORTH",61755,737
"03/21/2002 00:11:45","EST","WEST",61752,1652
"03/21/2002 00:16:45","EST","CAPITL",61757,1044
"03/21/2002 00:16:45","EST","CENTRL",61754,1664
"03/21/2002 00:16:45","EST","DUNWOD",61760,423
"03/21/2002 00:16:45","EST","GENESE",61753,931
"03/21/2002 00:16:45","EST","HUD VL",61758,862
"03/21/2002 00:16:45","EST","MHK VL",61756,660
"03/21/2002 00:16:45","EST","MILLWD",61759,284
"03/21/2002 00:16:45","EST","N.Y.C._LONGIL",,6478
"03/21/2002 00:16:45","EST","NORTH",61755,724
"03/21/2002 00:16:45","EST","WEST",61752,1644
"03/21/2002 00:18:15","EST","CAPITL",61757,1030
"03/21/2002 00:18:15","EST","CENTRL",61754,1649
"03/21/2002 00:18:15","EST","DUNWOD",61760,421
"03/21/2002 00:18:15","EST","GENESE",61753,929
"03/21/2002 00:18:15","EST","HUD VL",61758,851
"03/21/2002 00:18:15","EST","MHK VL",61756,657
"03/21/2002 00:18:15","EST","MILLWD",61759,276
"03/21/2002 00:18:15","EST","N.Y.C._LONGIL",,6441
"03/21/2002 00:18:15","EST","NORTH",61755,733
"03/21/2002 00:18:15","EST","WEST",61752,1658
"03/21/2002 00:23:15","EST","CAPITL",61757,1031
"03/21/2002 00:23:15","EST","CENTRL",61754,1657
"03/21/2002 00:23:15","EST","DUNWOD",61760,415
"03/21/2002 00:23:15","EST","GENESE",61753,919
"03/21/2002 00:23:15","EST","HUD VL",61758,859
"03/21/2002 00:23:15","EST","MHK VL",61756,657
"03/21/2002 00:23:15","EST","MILLWD",61759,275
"03/21/2002 00:23:15","EST","N.Y.C._LONGIL",,6413
"03/21/2002 00:23:15","EST","NORTH",61755,726
"03/21/2002 00:23:15","EST","WEST",61752,1639
"03/21/2002 00:27:45","EST","CAPITL",61757,1035
"03/21/2002 00:27:45","EST","CENTRL",61754,1635
"03/21/2002 00:27:45","EST","DUNWOD",61760,411
"03/21/2002 00:27:45","EST","GENESE",61753,907
"03/21/2002 00:27:45","EST","HUD VL",61758,856
"03/21/2002 00:27:45","EST","MHK VL",61756,648
"03/21/2002 00:27:45","EST","MILLWD",61759,277
"03/21/2002 00:27:45","EST","N.Y.C._LONGIL",,6376
"03/21/2002 00:27:45","EST","NORTH",61755,714
"03/21/2002 00:27:45","EST","WEST",61752,1636
"03/21/2002 00:31:45","EST","CAPITL",61757,1009
"03/21/2002 00:31:45","EST","CENTRL",61754,1622
"03/21/2002 00:31:45","EST","DUNWOD",61760,409
"03/21/2002 00:31:45","EST","GENESE",61753,908
"03/21/2002 00:31:45","EST","HUD VL",61758,863
"03/21/2002 00:31:45","EST","MHK VL",61756,642
"03/21/2002 00:31:45","EST","MILLWD",61759,271
"03/21/2002 00:31:45","EST","N.Y.C._LONGIL",,6350
"03/21/2002 00:31:45","EST","NORTH",61755,734
"03/21/2002 00:31:45","EST","WEST",61752,1642
"03/21/2002 00:35:15","EST","CAPITL",61757,1025
"03/21/2002 00:35:15","EST","CENTRL",61754,1612
"03/21/2002 00:35:15","EST","DUNWOD",61760,411
"03/21/2002 00:35:15","EST","GENESE",61753,907
"03/21/2002 00:35:15","EST","HUD VL",61758,836
"03/21/2002 00:35:15","EST","MHK VL",61756,650
"03/21/2002 00:35:15","EST","MILLWD",61759,271
"03/21/2002 00:35:15","EST","N.Y.C._LONGIL",,6327
"03/21/2002 00:35:15","EST","NORTH",61755,724
"03/21/2002 00:35:15","EST","WEST",61752,1634
"03/21/2002 00:40:15","EST","CAPITL",61757,1039
"03/21/2002 00:40:15","EST","CENTRL",61754,1630
"03/21/2002 00:40:15","EST","DUNWOD",61760,407
"03/21/2002 00:40:15","EST","GENESE",61753,903
"03/21/2002 00:40:15","EST","HUD VL",61758,850
"03/21/2002 00:40:15","EST","MHK VL",61756,645
"03/21/2002 00:40:15","EST","MILLWD",61759,267
"03/21/2002 00:40:15","EST","N.Y.C._LONGIL",,6311
"03/21/2002 00:40:15","EST","NORTH",61755,708
"03/21/2002 00:40:15","EST","WEST",61752,1608
"03/21/2002 00:45:15","EST","CAPITL",61757,1018
"03/21/2002 00:45:15","EST","CENTRL",61754,1594
"03/21/2002 00:45:15","EST","DUNWOD",61760,407
"03/21/2002 00:45:15","EST","GENESE",61753,906
"03/21/2002 00:45:15","EST","HUD VL",61758,831
"03/21/2002 00:45:15","EST","MHK VL",61756,646
"03/21/2002 00:45:15","EST","MILLWD",61759,268
"03/21/2002 00:45:15","EST","N.Y.C._LONGIL",,6280
"03/21/2002 00:45:15","EST","NORTH",61755,716
"03/21/2002 00:45:15","EST","WEST",61752,1614
"03/21/2002 00:50:15","EST","CAPITL",61757,1024
"03/21/2002 00:50:15","EST","CENTRL",61754,1584
"03/21/2002 00:50:15","EST","DUNWOD",61760,403
"03/21/2002 00:50:15","EST","GENESE",61753,908
"03/21/2002 00:50:15","EST","HUD VL",61758,849
"03/21/2002 00:50:15","EST","MHK VL",61756,640
"03/21/2002 00:50:15","EST","MILLWD",61759,273
"03/21/2002 00:50:15","EST","N.Y.C._LONGIL",,6232
"03/21/2002 00:50:15","EST","NORTH",61755,708
"03/21/2002 00:50:15","EST","WEST",61752,1602
"03/21/2002 00:55:15","EST","CAPITL",61757,1020
"03/21/2002 00:55:15","EST","CENTRL",61754,1617
"03/21/2002 00:55:15","EST","DUNWOD",61760,409
"03/21/2002 00:55:15","EST","GENESE",61753,903
"03/21/2002 00:55:15","EST","HUD VL",61758,842
"03/21/2002 00:55:15","EST","MHK VL",61756,644
"03/21/2002 00:55:15","EST","MILLWD",61759,263
"03/21/2002 00:55:15","EST","N.Y.C._LONGIL",,6237
"03/21/2002 00:55:15","EST","NORTH",61755,713
"03/21/2002 00:55:15","EST","WEST",61752,1597
"03/21/2002 00:56:45","EST","CAPITL",61757,1005
"03/21/2002 00:56:45","EST","CENTRL",61754,1611
"03/21/2002 00:56:45","EST","DUNWOD",61760,399
"03/21/2002 00:56:45","EST","GENESE",61753,903
"03/21/2002 00:56:45","EST","HUD VL",61758,838
"03/21/2002 00:56:45","EST","MHK VL",61756,638
"03/21/2002 00:56:45","EST","MILLWD",61759,270
"03/21/2002 00:56:45","EST","N.Y.C._LONGIL",,6212
