"Time Stamp","Time Zone","Name","PTID","Load"
"12/03/2001 00:00:00","EST","CAPITL",61757,1016
"12/03/2001 00:00:00","EST","CENTRL",61754,1559
"12/03/2001 00:00:00","EST","DUNWOD",61760,502
"12/03/2001 00:00:00","EST","GENESE",61753,914
"12/03/2001 00:00:00","EST","HUD VL",61758,905
"12/03/2001 00:00:00","EST","MHK VL",61756,550
"12/03/2001 00:00:00","EST","MILLWD",61759,166
"12/03/2001 00:00:00","EST","N.Y.C._LONGIL",,6178
"12/03/2001 00:00:00","EST","NORTH",61755,732
"12/03/2001 00:00:00","EST","WEST",61752,1587
"12/03/2001 00:00:50","EST","CAPITL",61757,1017
"12/03/2001 00:00:50","EST","CENTRL",61754,1554
"12/03/2001 00:00:50","EST","DUNWOD",61760,498
"12/03/2001 00:00:50","EST","GENESE",61753,908
"12/03/2001 00:00:50","EST","HUD VL",61758,855
"12/03/2001 00:00:50","EST","MHK VL",61756,584
"12/03/2001 00:00:50","EST","MILLWD",61759,183
"12/03/2001 00:00:50","EST","N.Y.C._LONGIL",,6135
"12/03/2001 00:00:50","EST","NORTH",61755,724
"12/03/2001 00:00:50","EST","WEST",61752,1583
"12/03/2001 00:01:50","EST","CAPITL",61757,1026
"12/03/2001 00:01:50","EST","CENTRL",61754,1538
"12/03/2001 00:01:50","EST","DUNWOD",61760,498
"12/03/2001 00:01:50","EST","GENESE",61753,903
"12/03/2001 00:01:50","EST","HUD VL",61758,873
"12/03/2001 00:01:50","EST","MHK VL",61756,593
"12/03/2001 00:01:50","EST","MILLWD",61759,197
"12/03/2001 00:01:50","EST","N.Y.C._LONGIL",,6078
"12/03/2001 00:01:50","EST","NORTH",61755,709
"12/03/2001 00:01:50","EST","WEST",61752,1580
"12/03/2001 00:06:20","EST","CAPITL",61757,1027
"12/03/2001 00:06:20","EST","CENTRL",61754,1536
"12/03/2001 00:06:20","EST","DUNWOD",61760,490
"12/03/2001 00:06:20","EST","GENESE",61753,892
"12/03/2001 00:06:20","EST","HUD VL",61758,864
"12/03/2001 00:06:20","EST","MHK VL",61756,589
"12/03/2001 00:06:20","EST","MILLWD",61759,183
"12/03/2001 00:06:20","EST","N.Y.C._LONGIL",,6060
"12/03/2001 00:06:20","EST","NORTH",61755,708
"12/03/2001 00:06:20","EST","WEST",61752,1578
"12/03/2001 00:07:50","EST","CAPITL",61757,1017
"12/03/2001 00:07:50","EST","CENTRL",61754,1523
"12/03/2001 00:07:50","EST","DUNWOD",61760,492
"12/03/2001 00:07:50","EST","GENESE",61753,889
"12/03/2001 00:07:50","EST","HUD VL",61758,874
"12/03/2001 00:07:50","EST","MHK VL",61756,578
"12/03/2001 00:07:50","EST","MILLWD",61759,180
"12/03/2001 00:07:50","EST","N.Y.C._LONGIL",,6010
