"Time Stamp","Time Zone","Name","PTID","Load"
"07/24/2012 00:00:00","EDT","CAPITL",61757,1408
"07/24/2012 00:00:00","EDT","CENTRL",61754,2100.7
"07/24/2012 00:00:00","EDT","DUNWOD",61760,825
"07/24/2012 00:00:00","EDT","GENESE",61753,1448.2
"07/24/2012 00:00:00","EDT","HUD VL",61758,1273.9
"07/24/2012 00:00:00","EDT","LONGIL",61762,3171.6
"07/24/2012 00:00:00","EDT","MHK VL",61756,920.2
"07/24/2012 00:00:00","EDT","MILLWD",61759,333
"07/24/2012 00:00:00","EDT","N.Y.C.",61761,7343.6
"07/24/2012 00:00:00","EDT","NORTH",61755,705
"07/24/2012 00:00:00","EDT","WEST",61752,2082.5
"07/24/2012 00:05:00","EDT","CAPITL",61757,1395.3
"07/24/2012 00:05:00","EDT","CENTRL",61754,2080.6
"07/24/2012 00:05:00","EDT","DUNWOD",61760,793.2
"07/24/2012 00:05:00","EDT","GENESE",61753,1439.7
"07/24/2012 00:05:00","EDT","HUD VL",61758,1241.2
"07/24/2012 00:05:00","EDT","LONGIL",61762,3108.5
"07/24/2012 00:05:00","EDT","MHK VL",61756,916
"07/24/2012 00:05:00","EDT","MILLWD",61759,362.6
"07/24/2012 00:05:00","EDT","N.Y.C.",61761,7257.6
"07/24/2012 00:05:00","EDT","NORTH",61755,725.1
"07/24/2012 00:05:00","EDT","WEST",61752,2046.8
"07/24/2012 00:10:00","EDT","CAPITL",61757,1395.1
"07/24/2012 00:10:00","EDT","CENTRL",61754,2024.2
"07/24/2012 00:10:00","EDT","DUNWOD",61760,815.2
"07/24/2012 00:10:00","EDT","GENESE",61753,1426
"07/24/2012 00:10:00","EDT","HUD VL",61758,1233
"07/24/2012 00:10:00","EDT","LONGIL",61762,3072.2
"07/24/2012 00:10:00","EDT","MHK VL",61756,923
"07/24/2012 00:10:00","EDT","MILLWD",61759,321.5
"07/24/2012 00:10:00","EDT","N.Y.C.",61761,7211.6
"07/24/2012 00:10:00","EDT","NORTH",61755,707.1
"07/24/2012 00:10:00","EDT","WEST",61752,2018.4
"07/24/2012 00:15:00","EDT","CAPITL",61757,1379
"07/24/2012 00:15:00","EDT","CENTRL",61754,2052.3
"07/24/2012 00:15:00","EDT","DUNWOD",61760,788.6
"07/24/2012 00:15:00","EDT","GENESE",61753,1419.5
"07/24/2012 00:15:00","EDT","HUD VL",61758,1206.4
"07/24/2012 00:15:00","EDT","LONGIL",61762,3051.6
"07/24/2012 00:15:00","EDT","MHK VL",61756,914.7
"07/24/2012 00:15:00","EDT","MILLWD",61759,341.2
"07/24/2012 00:15:00","EDT","N.Y.C.",61761,7185.6
"07/24/2012 00:15:00","EDT","NORTH",61755,716.6
"07/24/2012 00:15:00","EDT","WEST",61752,2022
"07/24/2012 00:20:00","EDT","CAPITL",61757,1376.4
"07/24/2012 00:20:00","EDT","CENTRL",61754,1999
"07/24/2012 00:20:00","EDT","DUNWOD",61760,813.4
"07/24/2012 00:20:00","EDT","GENESE",61753,1411.1
"07/24/2012 00:20:00","EDT","HUD VL",61758,1197.2
"07/24/2012 00:20:00","EDT","LONGIL",61762,3024.4
"07/24/2012 00:20:00","EDT","MHK VL",61756,914.3
"07/24/2012 00:20:00","EDT","MILLWD",61759,307.3
"07/24/2012 00:20:00","EDT","N.Y.C.",61761,7161.8
"07/24/2012 00:20:00","EDT","NORTH",61755,703.3
"07/24/2012 00:20:00","EDT","WEST",61752,2018.6
"07/24/2012 00:25:00","EDT","CAPITL",61757,1363
"07/24/2012 00:25:00","EDT","CENTRL",61754,1999.5
"07/24/2012 00:25:00","EDT","DUNWOD",61760,786.9
"07/24/2012 00:25:00","EDT","GENESE",61753,1407.1
"07/24/2012 00:25:00","EDT","HUD VL",61758,1196.2
"07/24/2012 00:25:00","EDT","LONGIL",61762,3004.1
"07/24/2012 00:25:00","EDT","MHK VL",61756,892.5
"07/24/2012 00:25:00","EDT","MILLWD",61759,326.1
"07/24/2012 00:25:00","EDT","N.Y.C.",61761,7108.6
"07/24/2012 00:25:00","EDT","NORTH",61755,707.5
"07/24/2012 00:25:00","EDT","WEST",61752,2006.3
"07/24/2012 00:30:00","EDT","CAPITL",61757,1351.2
"07/24/2012 00:30:00","EDT","CENTRL",61754,2045.8
"07/24/2012 00:30:00","EDT","DUNWOD",61760,763.5
"07/24/2012 00:30:00","EDT","GENESE",61753,1393.3
"07/24/2012 00:30:00","EDT","HUD VL",61758,1176.7
"07/24/2012 00:30:00","EDT","LONGIL",61762,2982.3
"07/24/2012 00:30:00","EDT","MHK VL",61756,891.5
"07/24/2012 00:30:00","EDT","MILLWD",61759,344.7
"07/24/2012 00:30:00","EDT","N.Y.C.",61761,7049.3
"07/24/2012 00:30:00","EDT","NORTH",61755,710
"07/24/2012 00:30:00","EDT","WEST",61752,1984.1
"07/24/2012 00:35:00","EDT","CAPITL",61757,1347.1
"07/24/2012 00:35:00","EDT","CENTRL",61754,2034.4
"07/24/2012 00:35:00","EDT","DUNWOD",61760,772.7
"07/24/2012 00:35:00","EDT","GENESE",61753,1389.2
"07/24/2012 00:35:00","EDT","HUD VL",61758,1167.6
"07/24/2012 00:35:00","EDT","LONGIL",61762,2949.3
"07/24/2012 00:35:00","EDT","MHK VL",61756,878.8
"07/24/2012 00:35:00","EDT","MILLWD",61759,341.7
"07/24/2012 00:35:00","EDT","N.Y.C.",61761,7029.7
"07/24/2012 00:35:00","EDT","NORTH",61755,707.1
"07/24/2012 00:35:00","EDT","WEST",61752,1975.5
"07/24/2012 00:40:00","EDT","CAPITL",61757,1338.2
"07/24/2012 00:40:00","EDT","CENTRL",61754,1978.4
"07/24/2012 00:40:00","EDT","DUNWOD",61760,758.6
"07/24/2012 00:40:00","EDT","GENESE",61753,1391.4
"07/24/2012 00:40:00","EDT","HUD VL",61758,1154.6
"07/24/2012 00:40:00","EDT","LONGIL",61762,2938.1
"07/24/2012 00:40:00","EDT","MHK VL",61756,874.2
"07/24/2012 00:40:00","EDT","MILLWD",61759,329.7
"07/24/2012 00:40:00","EDT","N.Y.C.",61761,6969
"07/24/2012 00:40:00","EDT","NORTH",61755,712.4
"07/24/2012 00:40:00","EDT","WEST",61752,1961.8
"07/24/2012 00:45:00","EDT","CAPITL",61757,1323.9
"07/24/2012 00:45:00","EDT","CENTRL",61754,1968.1
"07/24/2012 00:45:00","EDT","DUNWOD",61760,748.5
"07/24/2012 00:45:00","EDT","GENESE",61753,1375
"07/24/2012 00:45:00","EDT","HUD VL",61758,1170.5
"07/24/2012 00:45:00","EDT","LONGIL",61762,2931.5
"07/24/2012 00:45:00","EDT","MHK VL",61756,877.4
"07/24/2012 00:45:00","EDT","MILLWD",61759,310.7
"07/24/2012 00:45:00","EDT","N.Y.C.",61761,6921.9
"07/24/2012 00:45:00","EDT","NORTH",61755,705.7
"07/24/2012 00:45:00","EDT","WEST",61752,1962.7
"07/24/2012 00:50:00","EDT","CAPITL",61757,1335.4
"07/24/2012 00:50:00","EDT","CENTRL",61754,1965.3
"07/24/2012 00:50:00","EDT","DUNWOD",61760,740.3
"07/24/2012 00:50:00","EDT","GENESE",61753,1377
"07/24/2012 00:50:00","EDT","HUD VL",61758,1245.3
"07/24/2012 00:50:00","EDT","LONGIL",61762,2906.5
"07/24/2012 00:50:00","EDT","MHK VL",61756,873.3
"07/24/2012 00:50:00","EDT","MILLWD",61759,326.1
"07/24/2012 00:50:00","EDT","N.Y.C.",61761,6902
"07/24/2012 00:50:00","EDT","NORTH",61755,711.9
"07/24/2012 00:50:00","EDT","WEST",61752,1957
"07/24/2012 00:55:00","EDT","CAPITL",61757,1331.5
"07/24/2012 00:55:00","EDT","CENTRL",61754,1967.2
"07/24/2012 00:55:00","EDT","DUNWOD",61760,747.7
"07/24/2012 00:55:00","EDT","GENESE",61753,1365.1
"07/24/2012 00:55:00","EDT","HUD VL",61758,1278.7
"07/24/2012 00:55:00","EDT","LONGIL",61762,2880.3
"07/24/2012 00:55:00","EDT","MHK VL",61756,870.4
"07/24/2012 00:55:00","EDT","MILLWD",61759,320.5
"07/24/2012 00:55:00","EDT","N.Y.C.",61761,6879.6
"07/24/2012 00:55:00","EDT","NORTH",61755,710.5
"07/24/2012 00:55:00","EDT","WEST",61752,1952
"07/24/2012 01:00:00","EDT","CAPITL",61757,1320.3
"07/24/2012 01:00:00","EDT","CENTRL",61754,1964.9
"07/24/2012 01:00:00","EDT","DUNWOD",61760,724.8
"07/24/2012 01:00:00","EDT","GENESE",61753,1354.4
"07/24/2012 01:00:00","EDT","HUD VL",61758,1147.9
"07/24/2012 01:00:00","EDT","LONGIL",61762,2856.2
"07/24/2012 01:00:00","EDT","MHK VL",61756,860.6
"07/24/2012 01:00:00","EDT","MILLWD",61759,324.9
"07/24/2012 01:00:00","EDT","N.Y.C.",61761,6845.2
"07/24/2012 01:00:00","EDT","NORTH",61755,707.7
"07/24/2012 01:00:00","EDT","WEST",61752,1936.9
"07/24/2012 01:05:00","EDT","CAPITL",61757,1306.4
"07/24/2012 01:05:00","EDT","CENTRL",61754,1959.4
"07/24/2012 01:05:00","EDT","DUNWOD",61760,761.4
"07/24/2012 01:05:00","EDT","GENESE",61753,1350.9
"07/24/2012 01:05:00","EDT","HUD VL",61758,1160.9
"07/24/2012 01:05:00","EDT","LONGIL",61762,2842
"07/24/2012 01:05:00","EDT","MHK VL",61756,862.4
"07/24/2012 01:05:00","EDT","MILLWD",61759,271.9
"07/24/2012 01:05:00","EDT","N.Y.C.",61761,6814.8
"07/24/2012 01:05:00","EDT","NORTH",61755,698.9
"07/24/2012 01:05:00","EDT","WEST",61752,1929.9
"07/24/2012 01:10:00","EDT","CAPITL",61757,1320.8
"07/24/2012 01:10:00","EDT","CENTRL",61754,1985.2
"07/24/2012 01:10:00","EDT","DUNWOD",61760,730.8
"07/24/2012 01:10:00","EDT","GENESE",61753,1341.8
"07/24/2012 01:10:00","EDT","HUD VL",61758,1136.2
"07/24/2012 01:10:00","EDT","LONGIL",61762,2843
"07/24/2012 01:10:00","EDT","MHK VL",61756,862.7
"07/24/2012 01:10:00","EDT","MILLWD",61759,322.8
"07/24/2012 01:10:00","EDT","N.Y.C.",61761,6819.4
"07/24/2012 01:10:00","EDT","NORTH",61755,701.6
"07/24/2012 01:10:00","EDT","WEST",61752,1913.7
"07/24/2012 01:15:00","EDT","CAPITL",61757,1296.4
"07/24/2012 01:15:00","EDT","CENTRL",61754,1958.4
"07/24/2012 01:15:00","EDT","DUNWOD",61760,707.5
"07/24/2012 01:15:00","EDT","GENESE",61753,1334.4
"07/24/2012 01:15:00","EDT","HUD VL",61758,1122.9
"07/24/2012 01:15:00","EDT","LONGIL",61762,2820.9
"07/24/2012 01:15:00","EDT","MHK VL",61756,861.6
"07/24/2012 01:15:00","EDT","MILLWD",61759,333.9
"07/24/2012 01:15:00","EDT","N.Y.C.",61761,6757
"07/24/2012 01:15:00","EDT","NORTH",61755,714.4
"07/24/2012 01:15:00","EDT","WEST",61752,1924.7
"07/24/2012 01:20:00","EDT","CAPITL",61757,1296.6
"07/24/2012 01:20:00","EDT","CENTRL",61754,1971.3
"07/24/2012 01:20:00","EDT","DUNWOD",61760,730.4
"07/24/2012 01:20:00","EDT","GENESE",61753,1322.1
"07/24/2012 01:20:00","EDT","HUD VL",61758,1144.8
"07/24/2012 01:20:00","EDT","LONGIL",61762,2794.2
"07/24/2012 01:20:00","EDT","MHK VL",61756,865
"07/24/2012 01:20:00","EDT","MILLWD",61759,314.2
"07/24/2012 01:20:00","EDT","N.Y.C.",61761,6751.3
"07/24/2012 01:20:00","EDT","NORTH",61755,689.4
"07/24/2012 01:20:00","EDT","WEST",61752,1901.4
"07/24/2012 01:25:00","EDT","CAPITL",61757,1291.3
"07/24/2012 01:25:00","EDT","CENTRL",61754,1957.2
"07/24/2012 01:25:00","EDT","DUNWOD",61760,734.5
"07/24/2012 01:25:00","EDT","GENESE",61753,1315
"07/24/2012 01:25:00","EDT","HUD VL",61758,1132.8
"07/24/2012 01:25:00","EDT","LONGIL",61762,2782.7
"07/24/2012 01:25:00","EDT","MHK VL",61756,845.5
"07/24/2012 01:25:00","EDT","MILLWD",61759,291.3
"07/24/2012 01:25:00","EDT","N.Y.C.",61761,6740.5
"07/24/2012 01:25:00","EDT","NORTH",61755,703.5
"07/24/2012 01:25:00","EDT","WEST",61752,1905.2
"07/24/2012 01:30:00","EDT","CAPITL",61757,1288.9
"07/24/2012 01:30:00","EDT","CENTRL",61754,1932.9
"07/24/2012 01:30:00","EDT","DUNWOD",61760,728.3
"07/24/2012 01:30:00","EDT","GENESE",61753,1315.1
"07/24/2012 01:30:00","EDT","HUD VL",61758,1105.1
"07/24/2012 01:30:00","EDT","LONGIL",61762,2770.3
"07/24/2012 01:30:00","EDT","MHK VL",61756,838.8
"07/24/2012 01:30:00","EDT","MILLWD",61759,317.3
"07/24/2012 01:30:00","EDT","N.Y.C.",61761,6691.2
"07/24/2012 01:30:00","EDT","NORTH",61755,701.4
"07/24/2012 01:30:00","EDT","WEST",61752,1878.3
"07/24/2012 01:35:00","EDT","CAPITL",61757,1292.5
"07/24/2012 01:35:00","EDT","CENTRL",61754,1955
"07/24/2012 01:35:00","EDT","DUNWOD",61760,718.3
"07/24/2012 01:35:00","EDT","GENESE",61753,1303
"07/24/2012 01:35:00","EDT","HUD VL",61758,1106.4
"07/24/2012 01:35:00","EDT","LONGIL",61762,2760.8
"07/24/2012 01:35:00","EDT","MHK VL",61756,842.1
"07/24/2012 01:35:00","EDT","MILLWD",61759,309.9
"07/24/2012 01:35:00","EDT","N.Y.C.",61761,6675
"07/24/2012 01:35:00","EDT","NORTH",61755,703.5
"07/24/2012 01:35:00","EDT","WEST",61752,1887.8
"07/24/2012 01:40:00","EDT","CAPITL",61757,1283.8
"07/24/2012 01:40:00","EDT","CENTRL",61754,1962.9
"07/24/2012 01:40:00","EDT","DUNWOD",61760,715.3
"07/24/2012 01:40:00","EDT","GENESE",61753,1295.6
"07/24/2012 01:40:00","EDT","HUD VL",61758,1111.6
"07/24/2012 01:40:00","EDT","LONGIL",61762,2743.8
