Time Stamp,total_load
2023-07-20,6195638.2532
2023-07-21,6098461.8192
2023-07-22,5395848.8397
2023-07-23,5464850.824
2023-07-24,6267465.2766
2023-07-25,6133109.706
2023-07-26,6346146.1114
2023-07-27,7174025.229
2023-07-28,6975943.3699
2023-07-29,6659398.7146
2023-07-30,4976130.8496
2023-07-31,5362609.2494
2023-08-01,5224636.5471
2023-08-02,5233069.9348
2023-08-03,5641520.491
2023-08-04,5513555.4892
2023-08-05,5366763.6088
2023-08-06,5254603.0433
2023-08-07,6213287.4218
2023-08-08,5797571.6492
2023-08-09,5718963.6329
2023-08-10,5617466.9077
2023-08-11,5568623.3494
2023-08-12,5339806.3732
2023-08-13,5611510.0521
2023-08-14,5853448.3679
2023-08-15,5932898.3318
2023-08-16,5887233.9162
2023-08-17,5880484.84
2023-08-18,5615924.1155
2023-08-19,4782495.2832
2023-08-20,5057407.2545
2023-08-21,6218226.3192
2023-08-22,5421216.6248
2023-08-23,5071140.306
2023-08-24,5170432.5071
2023-08-25,5547042.9743
2023-08-26,5443637.6107
2023-08-27,5284920.266
2023-08-28,5370763.1711
2023-08-29,5568683.3008
2023-08-30,5790707.8362
2023-08-31,4970796.1597
2023-09-01,4768964.2988
2023-09-02,4609753.4714
2023-09-03,5297866.1282
2023-09-04,6038195.195
2023-09-05,6908161.57
2023-09-06,7370531.8626
2023-09-07,7164784.0033
2023-09-08,6608428.2561
2023-09-09,5986672.0078
2023-09-10,5412690.8447
2023-09-11,5841588.0853
2023-09-12,6008822.6634
2023-09-13,5735140.9416
2023-09-14,5062501.5813
2023-09-15,4491736.4132
2023-09-16,4194994.48
2023-09-17,4330375.1492
2023-09-18,5142524.625
2023-09-19,4649370.9562
2023-09-20,4505957.8061
2023-09-21,4456050.9929
2023-09-22,4512814.8292
2023-09-23,4221394.0277
2023-09-24,4202407.4141
2023-09-25,4460829.4451
2023-09-26,4387143.1297
2023-09-27,4276534.19
2023-09-28,4358920.4472
2023-09-29,4518974.9699
2023-09-30,4121473.0883
2023-10-01,4106947.5468
2023-10-02,4747176.2565
2023-10-03,4961836.8308
2023-10-04,5269286.313
2023-10-05,5073404.6237
2023-10-06,4909583.4317
2023-10-07,4382044.6739
2023-10-08,3986380.6876
2023-10-09,4154701.5028
2023-10-10,4378020.2588
2023-10-11,4482057.0292
2023-10-12,4416897.7543
2023-10-13,4273250.2459
2023-10-14,4173862.9717
2023-10-15,4041828.0829
2023-10-16,4384494.4325
2023-10-17,4604635.3685
2023-10-18,4508830.2098
2023-10-19,4450471.4722
2023-10-20,4631586.829
2023-10-21,4232290.541
2023-10-22,4151977.4825
2023-10-23,4396705.863
2023-10-24,4504990.6572
2023-10-25,4587911.6811
2023-10-26,4538092.5944
2023-10-27,4466078.3951
2023-10-28,4364598.3942
2023-10-29,4229340.381
2023-10-30,4706081.092
2023-10-31,4553963.895
2023-11-01,4700545.6561
2023-11-02,4753457.7587
2023-11-03,4781625.6115
2023-11-04,4272813.1565
2023-11-05,4281294.7151
2023-11-06,4633232.2039
2023-11-07,4649327.9091
2023-11-08,4602791.9345
2023-11-09,4805619.8742
2023-11-10,4756650.3039
2023-11-11,4362084.6429
2023-11-12,4588377.3004
2023-11-13,5042691.8068
2023-11-14,4961589.165
2023-11-15,4998376.5759
2023-11-16,4218573.1006000005
2023-11-17,4654208.5529
2023-11-18,4296471.8332
2023-11-19,4357053.8214
2023-11-20,4953933.6881
2023-11-21,5100167.0645
2023-11-22,4883063.3866
2023-11-23,4287314.5065
2023-11-24,4521025.5523
2023-11-25,4658472.8156
2023-11-26,4583190.697
2023-11-27,5086568.4617
2023-11-28,5546531.5092
2023-11-29,5338575.6177
2023-11-30,5159389.1396
2023-12-01,5045517.2297
2023-12-02,4539593.4348
2023-12-03,4642353.4738
2023-12-04,4879828.3556
2023-12-05,5049732.7611
2023-12-06,5220054.8026
2023-12-07,5330255.7951
2023-12-08,5117266.4387
2023-12-09,4554502.4691
2023-12-10,4543912.4379
2023-12-11,5095885.2681
2023-12-12,5001523.7388
2023-12-13,5083355.8512
2023-12-14,5205136.9969
2023-12-15,5317140.7403
2023-12-16,4520921.9382
2023-12-17,4643390.5385
2023-12-18,4882590.605
2023-12-19,5214006.5665
2023-12-20,5222231.7675
2023-12-21,5232641.155
2023-12-22,5233953.1848
2023-12-23,5039045.0004
2023-12-24,4618950.4931
2023-12-25,4328712.0489
2023-12-26,4693390.4929
2023-12-27,4728308.2156
2023-12-28,4678454.7963
2023-12-29,4608876.9827
2023-12-30,4588175.3596
2023-12-31,4680201.8296
