Name,avg_load
N.Y.C.,5518.482403008241
LONGIL,2214.5646516593333
CENTRL,1678.1930123135583
WEST,1669.441685299985
CAPITL,1267.3776362359235
GENESE,1043.6247682778358
HUD VL,1029.8144316587739
MHK VL,803.9896381376315
NORTH,650.7267829564099
DUNWOD,618.4509072693713
